  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
56-052792 O US WY CHEYENNE         41 02 01.48N 105 10 28.36W WINDMILL           1 00499 07810 W 4 D W 2020WTW01799OE C 2021316 
56-021481 O US WY DIXON            41 02 01.88N 107 29 56.93W POLE               1 00030 06514 U 1 A U                A 2013260 
56-021443 O US WY DIXON            41 02 01.90N 107 30 07.00W FENCE              1 00010 06484 U 1 A U                A 2013260 
56-021484 O US WY DIXON            41 02 01.92N 107 29 58.70W POLE               1 00031 06513 U 1 A U                A 2013260 
56-062157 U US WY CHEYENNE         41 02 01.92N 104 58 27.15W WINDMILL           1 00499 07074 W 4 D W 2018WTW15883OE A 2023037 
56-021487 O US WY DIXON            41 02 01.94N 107 30 00.52W POLE               1 00027 06508 U 1 A U                A 2013260 
56-021479 O US WY DIXON            41 02 01.97N 107 29 55.45W BLDG               1 00007 06492 U 1 A U                A 2013260 
56-021434 O US WY DIXON            41 02 02.67N 107 29 52.20W FENCE              1 00002 06489 U 1 A U                A 2013260 
56-062160 U US WY CHEYENNE         41 02 02.79N 104 59 50.67W WINDMILL           1 00499 07165 W 4 D W 2018WTW15886OE A 2023039 
56-021444 O US WY DIXON            41 02 02.94N 107 30 07.48W FENCE              1 00011 06486 U 1 A U                A 2013260 
56-021488 O US WY DIXON            41 02 03.33N 107 30 01.63W POLE               1 00032 06512 U 1 A U                A 2013260 
56-021482 O US WY DIXON            41 02 03.48N 107 29 57.86W POLE               1 00030 06514 U 1 A U                A 2013260 
56-021485 O US WY DIXON            41 02 03.54N 107 29 59.52W POLE               1 00032 06514 U 1 A U                A 2013260 
56-021480 O US WY DIXON            41 02 03.61N 107 29 56.24W BLDG               1 00008 06493 U 1 A U                A 2013260 
56-021441 O US WY DIXON            41 02 03.96N 107 30 03.52W FENCE              1 00006 06483 U 1 A U                A 2013260 
56-000124 O US WY MANILA UT        41 02 04.00N 109 33 25.00W TOWER              1 00221 06302 N 4 D M                C 2014152 
56-052794 O US WY CHEYENNE         41 02 05.11N 105 11 11.62W WINDMILL           1 00499 07916 W 4 D W 2020WTW01791OE C 2022047 
56-021502 O US WY DIXON            41 02 05.50N 107 30 36.67W T-L TWR            1 00052 06494 U 1 A U                A 2013260 
56-021437 O US WY DIXON            41 02 05.70N 107 29 56.83W FENCE              1 00002 06486 U 1 A U                A 2013260 
56-021450 O US WY DIXON            41 02 06.07N 107 30 17.11W FENCE              1 00001 06476 U 1 A U                A 2013260 
56-021493 O US WY DIXON            41 02 06.14N 107 30 10.73W ELEC SYS           1 00002 06478 U 1 A U                A 2013260 
56-021448 O US WY DIXON            41 02 06.76N 107 30 14.18W BLDG               1 00011 06488 U 1 A U                A 2013260 
56-021429 O US WY DIXON            41 02 06.81N 107 29 37.04W BLDG               1 00024 06524 U 1 A U                A 2013260 
56-021430 O US WY DIXON            41 02 07.13N 107 29 42.85W FENCE              1 00002 06497 U 1 A U                A 2013260 
56-021475 O US WY DIXON            41 02 07.22N 107 30 00.17W ELEC SYS           1 00001 06483 U 1 A U                A 2013260 
56-021432 O US WY DIXON            41 02 07.36N 107 29 49.15W FENCE              1 00002 06492 U 1 A U                A 2013260 
56-021446 O US WY DIXON            41 02 07.63N 107 30 12.69W BLDG               1 00014 06491 U 1 A U                A 2013260 
56-021447 O US WY DIXON            41 02 07.95N 107 30 14.65W FENCE              1 00001 06478 U 1 A U                A 2013260 
56-021508 O US WY DIXON            41 02 08.14N 107 27 49.18W T-L TWR            1 00029 06674 U 1 A U                A 2013260 
56-021431 O US WY DIXON            41 02 08.83N 107 29 43.64W FENCE              1 00001 06495 U 1 A U                A 2013260 
