  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
29-024722 O US MO CADET            37 57 03.78N 090 46 11.29W TOWER              1 00199 01326 N 2 C N 2012ACE03231OE A 2014135 
29-000528 O US MO ST. JAMES        37 57 06.00N 091 39 43.00W TOWER              1 00300 01310 R 4 D N 1973ACE00217OE C 2014138 
29-089755 O US MO STEELVILLE       37 57 08.23N 091 20 42.58W TOWER              1 00259 01226 D 1 A N 2023ACE02598OE A 2024003 
29-001307 O US MO STEELVILLE       37 57 09.00N 091 20 43.00W TOWER              1 00319 01289 R 5 E M 1987ACE00051OE C 2014138 
29-002167 O US MO STE. GENEVIEVE   37 57 10.00N 090 07 11.00W TOWER              1 00275 01043 D 5 E N 2000ACE00132OE C 2014138 
29-002817 O US MO MACKS CREEK      37 57 11.73N 092 58 38.72W TOWER              1 00255 01289 D 5 E N 2004ACE00622OE C 2004263 
29-001030 O US MO ROLLA            37 57 14.00N 091 46 29.00W STACK              2 00189 01324 U 3 C U                C 2014138 
29-000748 O US MO ROLLA            37 57 14.00N 091 46 15.00W TOWER              1 00173 01281 N 3 C N                C 2014138 
29-000182 O US MO ROLLA            37 57 15.10N 091 47 18.60W TOWER              1 00329 01498 R 3 C M 2007ACE00964OE C 2007210 
29-020880 O US MO ROLLA            37 57 15.11N 091 47 18.36W TOWER              1 00330 01498 D 1 A N 2010ACE02832OE A 2012305 
29-020868 O US MO TIFFIN           37 57 19.21N 093 56 20.51W TOWER              1 00254 01101 D 1 A N 2015ACE01241OE C 2016294 
29-001779 O US MO CAMDENTON        37 57 21.53N 092 42 28.16W TANK               1 00110 01214 N 4 E N 2010ACE00061OE C 2017300 
29-020782 O US MO ROLLA            37 57 29.00N 091 47 34.00W TOWER              1 00195 01388 N 2 C N 2006ACE02082OE A 2012241 
29-001881 O US MO POTOSI           37 57 31.00N 090 45 47.00W TOWER              1 00499 01635 M 2 C N 2016ACE01094OE C 2017271 
29-002724 O US MO POTOSI           37 57 32.00N 090 45 50.00W TOWER              1 00200 01306 N 4 D N 2003ACE00377OE C 2014124 
29-000280 O US MO ROLLA            37 57 37.06N 091 46 41.32W TOWER              1 00301 01482 R 1 A P 2020ACE00272OE C 2020057 
29-021078 O US MO ROLLA            37 57 38.00N 091 46 17.00W TOWER              1 00185 01318 N 2 C N 2006ACE00268OE A 2013120 
29-054488 O US MO EL DORADO SPRING 37 57 38.85N 093 54 23.62W TOWER              1 00315 01159 D 1 A N 2018ACE05361OE A 2018312 
29-021086 O US MO CROCKER          37 57 46.99N 092 15 52.36W TOWER              1 00260 01412 D 2 C N 2009ACE01328OE A 2013126 
29-000207 O US MO CROCKER          37 57 49.00N 092 15 46.00W TOWER              1 00278 01448 R 4 D M                C 2014138 
29-002570 O US MO FANNING          37 57 51.00N 091 45 49.00W TOWER              1 00275 01425 D 2 C N 2002ACE01904OE C 2003110 
29-001465 O US MO ROLLA            37 57 51.92N 091 45 52.96W TOWER              1 00273 01428 M 1 A N 2013ACE02506OE C 2013301 
29-004092 U US MO ROLLA            37 57 55.00N 091 47 04.00W TOWER              1 00184 01334 N 4 D N 0069_KC00301OE C 2014124 
29-021050 O US MO CAMDENTON        37 57 56.75N 092 41 07.78W BLDG               1 00031 01040 U 2 C U                A 2013086 
29-002122 O US MO BLOOMSDALE       37 57 58.00N 090 11 21.00W TOWER              1 00251 00821 D 2 C N 2003ACE01178OE C 2003229 
29-002700 O US MO DIXON            37 57 59.00N 092 10 04.00W TOWER              1 00222 01307 R 5 D M 2003ACE01116OE C 2003215 
29-021049 O US MO CAMDENTON        37 58 00.65N 092 41 09.29W POLE               1 00034 01059 U 2 C U                A 2013086 
29-003052 O US MO FRENCH VILLAGE   37 58 02.00N 090 21 10.00W TOWER              1 00335 01327 D 2 C N 2006ACE00030OE C 2008121 
29-021048 O US MO CAMDENTON        37 58 02.51N 092 41 12.21W POLE               1 00033 01065 U 2 C U                A 2013086 
29-021047 O US MO CAMDENTON        37 58 03.40N 092 41 17.43W POLE               1 00030 01062 U 2 C U                A 2013086 
29-021046 O US MO CAMDENTON        37 58 04.20N 092 41 22.20W POLE               1 00035 01078 U 2 C U                A 2013086 
29-021021 O US MO CAMDENTON        37 58 07.53N 092 41 22.62W FENCE              1 00002 01063 U 2 C U                A 2013086 
29-021019 O US MO CAMDENTON        37 58 07.69N 092 41 18.39W GEN UTIL           1 00021 01061 U 2 C U                A 2013086 
29-021020 O US MO CAMDENTON        37 58 08.33N 092 41 16.65W GEN UTIL           1 00023 01061 U 2 C U                A 2013086 
29-061952 O US MO STEELVILLE       37 58 09.41N 091 11 46.77W TOWER              1 00310 01211 D 1 A N 2018ACE05530OE A 2019232 
29-021022 O US MO CAMDENTON        37 58 10.25N 092 41 25.66W POLE               1 00035 01101 U 2 C U                A 2013086 
29-021041 O US MO CAMDENTON        37 58 10.59N 092 41 25.03W BLDG               1 00018 01084 U 2 C U                A 2013086 
29-001411 O US MO ZELL             37 58 12.00N 090 07 58.00W TOWER              1 00283 01145 R 3 C M 1985ACE00467OE C 2014138 
29-021023 O US MO CAMDENTON        37 58 12.29N 092 41 25.59W FENCE              1 00001 01066 U 2 C U                A 2013086 
29-061940 O US MO OCEOLA           37 58 12.48N 093 38 58.93W TOWER              1 00340 01272 D 1 A N 2017ACE04604OE A 2019213 
29-020675 O US MO FRENCH VILLAGE   37 58 13.20N 090 20 59.71W TOWER              1 00194 01184 N 5 E N 2011ACE02172OE A 2012060 
29-020454 O US MO STEELVILLE       37 58 21.61N 091 13 24.22W TOWER              1 00260 01180 D 2 C N 2010ACE00454OE C 2010133 
29-021042 O US MO CAMDENTON        37 58 22.00N 092 41 31.97W BLDG               1 00019 01081 U 2 C U                A 2013086 
29-021043 O US MO CAMDENTON        37 58 23.25N 092 41 32.71W BLDG               1 00012 01073 U 2 C U                A 2013086 
29-020993 O US MO ROSCOE           37 58 23.31N 093 48 13.70W TOWER              1 00255 01035 D 2 C N 2012ACE03420OE A 2013093 
29-020982 O US MO FRENCH VILLAGE   37 58 24.64N 090 20 57.35W TOWER              1 00180 01162 N 5 E N 2011ACE02845OE A 2013092 
29-020101 O US MO STEELVILLE       37 58 25.02N 091 22 14.87W TOWER              1 00310 01195 D 2 C N 2008ACE01966OE C 2009043 
29-021024 O US MO CAMDENTON        37 58 29.82N 092 41 25.21W POLE               1 00014 01075 U 2 C U                A 2013086 
29-021087 O US MO MACKS CREEK      37 58 30.50N 092 53 36.90W TOWER              1 00320 01408 D 4 D N 2012ACE04020OE A 2013126 
29-021025 O US MO CAMDENTON        37 58 34.13N 092 41 38.69W POLE               1 00021 01076 U 2 C U                A 2013086 
29-021026 O US MO CAMDENTON        37 58 34.87N 092 41 39.93W TANK               1 00010 01066 U 2 C U                A 2013086 
29-021027 O US MO CAMDENTON        37 58 35.01N 092 41 40.22W POLE               1 00024 01080 U 2 C U                A 2013086 
29-021028 O US MO CAMDENTON        37 58 35.84N 092 41 39.83W POLE               1 00020 01076 U 2 C U                A 2013086 
29-021044 O US MO CAMDENTON        37 58 35.95N 092 41 39.24W BLDG               1 00009 01065 U 2 C U                A 2013086 
29-021029 O US MO CAMDENTON        37 58 36.07N 092 41 39.21W POLE               1 00019 01075 U 2 C U                A 2013086 
29-000907 O US MO OLD MINES        37 58 38.00N 090 43 02.00W TOWER              1 00168 00988 N 5 E U                C 2014138 
29-004054 O US MO ROLLA            37 58 42.00N 091 42 49.19W TOWER              1 00265 01436 D 2 C N 2006ACE02880OE C 2008212 
29-021045 O US MO CAMDENTON        37 58 42.49N 092 41 43.04W BLDG               1 00023 01084 U 2 C U                A 2013086 
29-022287 O US MO CAMDENTON        37 58 43.73N 092 41 44.57W BLDG               1 00018 01080 U 2 C U                A 2014007 
29-021032 O US MO CAMDENTON        37 58 43.75N 092 41 42.21W TANK               1 00020 01077 U 2 C U                A 2013086 
29-021033 O US MO CAMDENTON        37 58 43.78N 092 41 44.21W POLE               1 00025 01086 U 2 C U                A 2013086 
29-001212 O US MO CAMDENTON        37 58 44.00N 092 41 11.00W TOWER              1 00120 01139 N 5 E U 1981ACE00712OE C 2014138 
29-021034 O US MO CAMDENTON        37 58 44.61N 092 41 43.50W POLE               1 00022 01082 U 2 C U                A 2013086 
29-021051 O US MO CAMDENTON        37 58 44.73N 092 41 44.04W BLDG               1 00014 01075 U 2 C U                A 2013086 
29-081841 O US MO CAMDENTON        37 58 45.42N 092 41 54.17W TOWER              1 00123 01170 N 1 A N 2020ACE04287OE A 2022263 
29-021054 O US MO CAMDENTON        37 58 45.88N 092 41 46.00W POLE               1 00039 01101 U 2 C U                A 2013086 
29-021052 O US MO CAMDENTON        37 58 45.89N 092 41 45.47W POLE               1 00020 01082 U 2 C U                A 2013086 
29-021053 O US MO CAMDENTON        37 58 46.29N 092 41 44.67W BLDG               1 00017 01079 U 2 C U                A 2013086 
29-001723 O US MO STEELVILLE       37 58 47.00N 091 19 46.00W TOWER              1 00375 01269 D 1 A N 2003ACE00225OE C 2003181 
29-021055 O US MO CAMDENTON        37 58 47.25N 092 41 46.67W POLE               1 00028 01089 U 2 C U                A 2013086 
29-021000 O US MO CAMDENTON        37 58 47.40N 092 41 47.27W FENCE              1 00001 01062 U 2 C U                A 2013086 
29-021001 O US MO CAMDENTON        37 58 47.41N 092 41 47.82W FENCE              1 00001 01063 U 2 C U                A 2013086 
29-021037 O US MO CAMDENTON        37 58 50.56N 092 41 49.09W BLDG               1 00020 01078 U 2 C U                A 2013086 
29-020999 O US MO CAMDENTON        37 58 51.24N 092 41 36.78W POLE               1 00040 01070 U 2 C U                A 2013086 
29-021002 O US MO CAMDENTON        37 58 51.34N 092 41 39.79W POLE               1 00038 01073 N 2 C N 2021ACE05797OE C 2023317 
29-083677 U US MO CAMDENTON        37 58 51.35N 092 41 43.79W UTILITY POLE       1 00038 01080 N 4 D N 2021ACE05798OE A 2023317 
29-021035 O US MO CAMDENTON        37 58 51.38N 092 41 45.27W FENCE              1 00010 01057 U 2 C U                A 2013086 
29-021004 O US MO CAMDENTON        37 58 51.39N 092 41 46.69W POLE               1 00036 01086 U 2 C U                A 2013086 
29-020193 U US MO CAMDENTON        37 58 51.39N 092 41 42.14W POLE               1 00038 01071 N 4 D N 2021ACE05796OE C 2023317 
29-021006 O US MO CAMDENTON        37 58 51.44N 092 41 48.61W POLE               1 00038 01089 U 2 C U                A 2013086 
29-021005 O US MO CAMDENTON        37 58 52.04N 092 41 45.44W POLE               1 00028 01076 U 2 C U                A 2013086 
29-021009 O US MO CAMDENTON        37 58 52.07N 092 41 51.17W POLE               1 00031 01078 U 2 C U                A 2013086 
29-021008 O US MO CAMDENTON        37 58 52.11N 092 41 50.57W POLE               1 00043 01090 U 2 C U                A 2013086 
29-021007 O US MO CAMDENTON        37 58 52.13N 092 41 48.04W POLE               1 00033 01081 U 2 C U                A 2013086 
29-021003 O US MO CAMDENTON        37 58 52.18N 092 41 39.04W POLE               1 00039 01064 U 2 C U                A 2013086 
29-021010 O US MO CAMDENTON        37 58 52.43N 092 41 52.60W POLE               1 00038 01083 U 2 C U                A 2013086 
29-021011 O US MO CAMDENTON        37 58 52.47N 092 41 52.75W UTILITY POLE       1 00038 01084 N 4 D N 2021ACE05800OE C 2023320 
29-021036 O US MO CAMDENTON        37 58 52.71N 092 41 42.53W BLDG               1 00019 01056 U 2 C U                A 2013086 
29-021039 O US MO CAMDENTON        37 58 52.93N 092 41 46.87W BLDG               1 00011 01057 U 2 C U                A 2013086 
29-001002 O US MO POTOSI           37 58 53.00N 090 58 41.00W TOWER              1 00118 01518 N 5 E U 0003_OE01523OE C 2014138 
29-021038 O US MO CAMDENTON        37 58 53.40N 092 41 44.65W BLDG               1 00015 01060 U 2 C U                A 2013086 
29-089733 O US MO OSCEOLA          37 58 53.54N 093 59 48.59W TOWER              1 00260 01150 D 1 A N 2023ACE00568OE A 2023325 
29-003064 O US MO ROLLA            37 58 54.00N 091 44 58.00W TOWER              1 00265 01450 D 2 C N 2006ACE00183OE C 2008051 
29-021012 O US MO CAMDENTON        37 58 56.16N 092 41 55.82W POLE               1 00038 01096 U 2 C U                A 2013086 
29-021040 O US MO CAMDENTON        37 58 58.05N 092 41 53.93W BLDG               1 00024 01084 U 2 C U                A 2013086 
29-021013 O US MO CAMDENTON        37 58 58.11N 092 41 57.30W POLE               1 00033 01093 U 2 C U                A 2013086 
29-021014 O US MO CAMDENTON        37 58 58.25N 092 41 56.97W POLE               1 00032 01092 U 2 C U                A 2013086 
29-021015 O US MO CAMDENTON        37 58 59.61N 092 41 53.67W POLE               1 00035 01096 U 2 C U                A 2013086 
29-088929 O US MO SAINT JAMES      37 58 59.91N 091 35 39.83W TOWER              1 00262 01270 D 1 A N 2022ACE03275OE A 2023213 
29-001555 O US MO BLOOMSDALE       37 59 00.00N 090 14 07.92W TOWER              1 00418 01151 R 2 C P 2014ACE05085OE C 2015020 
29-021016 O US MO CAMDENTON        37 59 01.13N 092 41 50.51W POLE               1 00035 01091 U 2 C U                A 2013086 
29-020513 O US MO MACKS CREEK      37 59 01.28N 092 51 51.59W TOWER              1 00308 01291 D 1 A N 2011ACE01455OE A 2011263 
29-021018 O US MO CAMDENTON        37 59 03.86N 092 41 44.94W POLE               1 00038 01073 U 2 C U                A 2013086 
29-021017 O US MO CAMDENTON        37 59 05.09N 092 41 41.37W POLE               1 00045 01090 U 2 C U                A 2013086 
29-002481 O US MO HICKORY          37 59 10.00N 093 12 49.00W TOWER              1 00304 01324 D 2 C N 2001ACE02145OE A 2001267 
29-024823 O US MO BONNE TERRE      37 59 13.83N 090 34 41.54W TOWER              1 00240 01020 D 2 C N 2014ACE00094OE A 2015002 
29-077052 O US MO CADET            37 59 14.90N 090 40 09.30W TOWER              1 00349 01224 D 4 D N 2019ACE06563OE A 2021172 
29-024995 O US MO CAMDENTON        37 59 22.70N 092 46 26.33W TOWER              1 00360 01037 D 1 A N 2014ACE02139OE A 2016102 
29-020465 O US MO DIXON            37 59 24.87N 092 06 06.54W TOWER              1 00260 01441 D 2 C N 2009ACE02131OE C 2010182 
29-000887 O US MO ROLLA            37 59 26.00N 091 42 28.00W TOWER              1 00223 01293 R 5 D M 1978ACE00703OE C 2014138 
29-001533 O US MO ROLLA            37 59 26.03N 091 43 58.45W TOWER              1 00410 01620 R 3 C P 2011ACE01268OE C 2012195 
29-021092 O US MO CAMDENTON        37 59 34.90N 092 49 04.54W TOWER              1 00240 01179 D 2 C N 2012ACE00311OE A 2013126 
29-000165 O US MO STE. GENEVIEVE   37 59 35.79N 090 03 34.01W TOWER              1 00305 00827 R 4 D M 2004ACE00771OE C 2004340 
29-054034 O US MO ST. JAMES        37 59 37.85N 091 38 27.60W TOWER              1 00260 01358 D 1 A N 2017ACE04156OE A 2018099 
29-002912 O US MO STE. GENEVIEVE   37 59 39.79N 090 03 29.61W TOWER              1 00265 00766 R 4 D M                A 2004340 
29-002660 O US MO ST. JAMES        37 59 47.00N 091 38 06.00W TOWER              1 00215 01332 D 1 A N 2002ACE01278OE C 2003160 
29-000521 O US MO HANCOCK          37 59 50.00N 092 09 40.00W TOWER              1 00358 01578 R 5 D M 1989ACE00774OE C 2014138 
29-002848 O US MO DIXON            37 59 56.00N 092 07 19.04W TOWER              1 00260 01459 D 1 A N 2004ACE02128OE C 2004354 
29-000773 O US MO DIXON            37 59 57.00N 092 04 37.00W TOWER              1 00300 01500 R 5 D M 1971ACE00405OE C 2014138 
29-001910 O US MO BONNE TERRE      38 00 02.26N 090 29 24.56W TOWER              1 00369 01449 D 2 C N 2004ACE00884OE C 2004354 
29-020013 O US MO CAMDENTON        38 00 12.78N 092 44 23.51W TOWER              1 00260 01285 D 2 C N 2007ACE00037OE C 2012095 
29-001819 O US MO FRENCH VILLAGE   38 00 14.00N 090 20 53.00W TOWER              1 00350 01385 M 5 E N 1995ACE00735OE C 2014138 
29-000269 O US MO BONNE TERRE      38 00 23.17N 090 29 46.24W TOWER              1 00290 01390 M 1 A N 2014ACE01206OE C 2014119 
29-002213 O US MO STE. GENEVIEVE   38 00 24.88N 090 04 54.60W PLANT              1 00224 00842 M 5 E N 2004ACE00794OE C 2004354 
29-020646 O US MO SAINT GENEVIEVE  38 00 25.50N 090 04 21.90W TOWER              1 00218 00762 D 5 E N 2015ACE03278OE C 2015287 
29-024863 O US MO BLOOMSDALE       38 00 30.09N 090 13 00.94W TOWER              1 00160 00645 N 5 E N 2013ACE03213OE A 2015127 
29-002552 O US MO ST. JAMES        38 00 48.98N 091 35 07.71W TOWER              1 00323 01371 M 2 B N 2010ACE02339OE C 2012195 
29-072066 O US MO CADET            38 00 55.95N 090 44 50.95W TOWER              1 00305 01248 D 1 A N 2018ACE04922OE A 2019329 
29-023346 O US MO DESOTO           38 01 03.76N 090 34 15.38W TOWER              1 00322 01161 D 2 C N 2012ACE03597OE A 2014080 
29-004051 O US MO SCHELL CITY      38 01 09.06N 094 07 53.27W TOWER              1 00408 01221 D 5 D N 2005ACE01068OE C 2008053 
29-002505 O US MO CAMDENTON        38 01 11.00N 092 45 19.00W TOWER              1 00310 01298 D 2 C N 2001ACE02072OE C 2002125 
29-001203 O US MO CAMDENTON        38 01 12.46N 092 45 26.41W TOWER              1 00420 01415 D 2 C N 2017ACE02385OE C 2017265 
29-024739 O US MO BRUMLEY          38 01 22.54N 092 24 22.82W TOWER              1 00267 01340 D 1 A N 2014ACE02209OE C 2014203 
29-020629 O US MO CAMDENTON        38 01 22.61N 092 43 43.33W TOWER              1 00199 01120 N 2 C N 2006ACE03066OE A 2012048 
29-001854 O US MO BLACKWELL        38 01 25.00N 090 34 02.00W TOWER              1 00322 01142 R 5 E M 1996ACE00825OE C 2014138 
29-020464 O US MO OSCEOLA          38 01 28.44N 093 40 47.11W TOWER              1 00187 01048 N 2 B N 2010ACE00182OE C 2010155 
29-000449 O US MO DIXON            38 01 33.00N 092 03 07.00W TOWER              1 00303 01467 D 3 D N 2016ACE00130OE C 2016343 
29-001560 O US MO CAMDEN           38 01 40.12N 092 46 59.66W TOWER              1 00412 01430 D 5 D N 2010ACE00021OE C 2010084 
29-001553 O US MO SAINT JAMES      38 01 47.35N 091 32 44.81W TOWER              1 00470 01548 L 2 C P 2011ACE01761OE C 2018002 
29-002816 O US MO CROSS TIMBERS    38 01 49.10N 093 13 43.46W TOWER              1 00255 01239 D 5 D N 2004ACE00617OE C 2004263 
29-050605 U US MO BLOOMSDALE       38 01 49.46N 090 14 00.81W TOWER              1 00199 00983 N 1 A N 2013ACE03543OE A 2018024 
29-003003 O US MO BLOOMSDALE       38 01 50.56N 090 13 59.35W TOWER              1 00285 01069 D 4 D N 2005ACE00584OE C 2021197 
29-001656 O US MO FREEDOM          38 02 06.00N 092 34 32.00W TOWER              1 00220 01185 R 5 E M 1992ACE00216OE C 2014138 
29-083337 O US MO OSCEOLA          38 02 06.42N 093 40 28.03W TOWER              1 00413 01268 D 1 A N 2020ACE02576OE A 2023004 
29-000558 O US MO ROSATI           38 02 06.70N 091 30 39.60W TOWER              1 00340 01491 R 4 D P 2018ACE02597OE C 2019112 
29-000347 O US MO OSCEOLA          38 02 11.00N 093 38 26.00W TOWER              1 00264 01119 M 5 D M 1997ACE00270OE C 2014138 
29-001467 O US MO OSCEOLA          38 02 12.00N 093 34 48.00W TOWER              1 00195 01135 R 5 D N 1989ACE00609OE C 2014138 
29-083770 O US MO ST. JAMES        38 02 13.85N 091 31 54.49W TOWER              1 00265 01335 D 1 A N 2021ACE09294OE A 2023023 
29-021363 O US MO KAISER/LAKE OZAR 38 02 22.82N 092 35 23.07W POLE               1 00031 00940 U 1 A U                A 2013323 
29-000263 O US MO CUBA             38 02 24.27N 091 30 53.49W TOWER              1 00328 01498 D 1 A N 2013ACE00440OE C 2014098 
29-002426 O US MO CROSS TIMBERS    38 02 25.76N 093 14 40.57W TOWER              1 00325 01324 D 2 B N 2009ACE00541OE C 2012190 
29-004076 O US MO ST. JAMES        38 02 29.25N 091 30 45.01W TOWER              1 00260 01407 D 2 C N 2006ACE00300OE C 2021200 
29-001572 O US MO HAHATONKA        38 02 29.82N 092 46 30.40W TOWER              1 00462 01418 D 1 A N 2006ACE02415OE C 2006351 
29-002170 O US MO CUBA             38 02 30.80N 091 30 41.70W TOWER              1 00260 01405 M 5 D N 2009ACE01901OE C 2009341 
29-001497 O US MO OSCEOLA          38 02 31.00N 093 41 05.00W TOWER              1 00366 01241 M 5 D N 1991ACE00108OE C 2014138 
29-024859 O US MO OLD MINES        38 02 39.71N 090 41 38.07W TOWER              1 00150 01165 N 5 E N 2014ACE00503OE A 2015127 
29-001675 O US MO RICH HILL        38 02 47.65N 094 21 57.81W TOWER              1 00265 01075 D 1 A N 2010ACE02382OE C 2012187 
29-024725 O US MO DESOTO           38 02 48.87N 090 24 50.55W TOWER              1 00329 01170 D 2 C N 2012ACE03864OE A 2014136 
29-020909 O US MO OSCEOLA          38 02 49.90N 093 35 44.82W TOWER              1 00256 01202 D 1 A N 2015ACE00023OE C 2015091 
29-002066 O US MO CUBA             38 02 52.00N 091 29 48.00W TOWER              1 00320 01357 D 5 E N 1997ACE01207OE C 2014138 
29-002474 O US MO PANAMA           38 02 53.00N 094 21 46.00W TOWER              1 00301 01109 D 5 D N 2001ACE02379OE C 2002097 
29-002236 O US MO RICH HILL        38 02 53.49N 094 22 18.18W TOWER              1 00499 01321 D 5 D N 2016ACE02289OE C 2016182 
29-080872 O US MO CUBA             38 02 55.23N 091 23 46.82W TOWER              1 00259 01310 D 1 A N 2020ACE05884OE A 2022025 
29-001728 O US MO OSCEOLA          38 02 56.28N 093 38 31.13W TOWER              1 00484 01375 M 5 D N 2016ACE02299OE C 2016190 
29-024724 O US MO OLD MINES        38 02 56.80N 090 45 14.30W TOWER              1 00240 01019 D 5 E N 2012ACE02110OE A 2014136 
29-001567 O US MO CUBA             38 02 58.00N 091 23 42.00W TOWER              1 00278 01311 M 5 E N 1997ACE00393OE C 2014138 
29-024865 O US MO BLOOMSDALE       38 02 59.77N 090 16 49.20W TOWER              1 00160 00749 N 5 E N 2013ACE03214OE A 2015127 
29-001292 O US MO CUBA             38 03 00.00N 091 23 47.00W TANK               1 00152 01196 R 5 E N                C 2014138 
29-002169 O US MO LINN CREEK       38 03 12.00N 092 41 45.00W TOWER              1 00348 01318 D 2 C N 2003ACE01402OE C 2003222 
29-020062 O US MO DESOTO           38 03 28.40N 090 29 38.30W TOWER              1 00270 01070 D 2 C N 2012ACE01164OE C 2012108 
29-003063 O US MO CAMDENTON        38 03 31.70N 092 47 22.43W TOWER              1 00259 01175 D 5 E N 2006ACE02033OE C 2008051 
29-023673 O US MO CUBA             38 03 39.10N 091 25 49.97W T-L TWR            1 00040 01063 U 2 C U                A 2014077 
29-023674 O US MO CUBA             38 03 40.90N 091 25 45.42W T-L TWR            1 00035 01058 U 2 C U                A 2014077 
29-006121 U US MO CUBA             38 03 42.00N 091 24 02.00W TOWER              1 00100 01120 U 4 D U 0068_KC00091OE C 2014124 
29-004005 O US MO CUBA             38 03 42.41N 091 23 16.00W TOWER              1 00260 01303 D 2 C N 2006ACE00301OE C 2008094 
29-003099 O US MO DAVISVILLE       38 03 44.00N 091 46 24.00W TOWER              1 00290 01440 D 2 C N 2006ACE01032OE C 2008045 
29-021367 O US MO KAISER/LAKE OZAR 38 03 45.98N 092 33 57.15W BLDG               1 00021 00870 U 1 A U                A 2013323 
29-020573 O US MO ST JAMES         38 03 52.03N 091 39 44.27W TOWER              1 00260 01247 D 2 C N 2010ACE02652OE A 2012038 
29-004080 O US MO CAMDENTON        38 03 59.78N 092 48 21.88W TOWER              1 00245 01181 D 2 C N 2006ACE02915OE C 2008045 
29-002843 O US MO ROLLA            38 04 00.76N 091 47 32.68W TOWER              1 00304 01361 D 2 C N 2016ACE03214OE C 2016250 
29-020882 O US MO ST JAMES         38 04 03.29N 091 40 07.31W TOWER              1 00261 01248 D 2 C N 2009ACE00483OE A 2012311 
29-023670 O US MO CUBA             38 04 08.04N 091 25 38.52W POLE               1 00031 01048 U 2 C U                A 2014077 
29-024819 O US MO LINN CREEK       38 04 11.08N 092 41 43.15W POLE               1 00105 01055 N 2 C N 2014ACE04611OE A 2014349 
29-003048 O US MO OSCEOLA          38 04 11.58N 093 42 04.81W TOWER              1 00320 01152 D 5 D N 2005ACE01122OE C 2008051 
29-021084 O US MO JOPLIN           38 04 14.49N 094 28 09.40W TOWER              1 00195 01045 R 1 D P 2012ACE03720OE A 2013126 
29-000905 O US MO DIXON            38 04 15.00N 092 06 45.80W TOWER              1 00295 01456 D 4 D N 2023ACE02027OE C 2023157 
29-001722 O US MO SAFE             38 04 15.42N 091 39 52.50W TOWER              1 00499 01479 R 5 D P 2014ACE02336OE C 2014197 
29-001026 O US MO CUBA             38 04 17.00N 091 23 55.00W TOWER              1 00190 01165 R 3 C U                C 2014138 
29-020100 O US MO CADET            38 04 25.66N 090 45 25.22W TOWER              1 00260 01117 M 2 C N 2008ACE03443OE C 2012101 
29-000242 O US MO HUME             38 04 29.00N 094 35 43.00W TOWER              1 00281 01181 M 5 D N 0003_CE02365OE C 2014138 
29-022917 O US MO OSAGE BEACH      38 04 38.09N 092 38 29.73W TOWER              1 00072 00926 U 1 A U                A 2014029 
29-002914 O US MO BLACKWELL        38 04 39.82N 090 43 39.06W TOWER              1 00309 01105 D 1 A N 2004ACE02287OE C 2004361 
29-002147 O US MO CUBA             38 04 40.65N 091 24 29.03W TOWER              1 00202 01204 D 1 A N 2013ACE00547OE C 2013129 
29-023672 O US MO CUBA             38 04 43.94N 091 25 43.46W T-L TWR            1 00056 01083 U 2 C U                A 2014077 
29-023671 O US MO CUBA             38 04 45.15N 091 25 38.25W T-L TWR            1 00056 01076 U 2 C U                A 2014077 
29-002117 O US MO CUBA             38 04 49.68N 091 23 28.02W TOWER              1 00258 01279 D 2 C N 2014ACE02970OE C 2014344 
29-021362 O US MO KAISER/LAKE OZAR 38 05 03.87N 092 33 54.35W BLDG               1 00023 00911 U 1 A U                A 2013323 
29-000138 O US MO CUBA             38 05 09.00N 091 23 54.00W TOWER              1 00369 01359 R 5 E M 0003_OE00376OE C 2014138 
29-001349 O US MO CUBA             38 05 10.00N 091 18 29.00W TOWER              2 00178 01178 N 5 E N 1981ACE00917OE C 2014138 
29-021361 O US MO KAISER/LAKE OZAR 38 05 10.41N 092 33 27.16W FENCE              1 00010 00880 U 1 A U                A 2013323 
29-002120 O US MO BLOOMSDALE       38 05 15.00N 090 18 03.00W TOWER              1 00304 00812 D 2 C N 2003ACE01169OE C 2003229 
29-083757 O US MO DESOTO           38 05 22.60N 090 35 31.10W TOWER              1 00295 01135 D 4 D N 2021ACE02685OE A 2023059 
29-021341 O US MO KAISER/LAKE OZAR 38 05 24.61N 092 34 04.69W T-L TWR            1 00037 00907 U 1 A U                A 2013323 
29-021359 O US MO KAISER/LAKE OZAR 38 05 26.09N 092 33 18.56W GEN UTIL           1 00006 00865 U 1 A U                A 2013323 
29-020725 O US MO IBERIA           38 05 26.40N 092 18 07.51W TOWER              1 00312 01187 D 1 A N 2012ACE01759OE A 2012157 
29-021360 O US MO KAISER/LAKE OZAR 38 05 28.36N 092 33 22.62W NAVAID             1 00004 00867 U 1 A U                A 2013323 
29-021358 O US MO KAISER/LAKE OZAR 38 05 29.34N 092 33 12.17W SIGN               1 00010 00863 U 1 A U                A 2013323 
29-000258 O US MO HUME             38 05 29.40N 094 35 14.30W TOWER              1 00301 01192 L 4 D P 2012ACE01223OE C 2018057 
