  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
05-000445 O US AR EL DORADO        33 11 47.00N 092 41 13.00W TOWER              1 00297 00562 R 5 D M 1977ASW00768OE C 2014138 
05-000920 O US AR MACEDONIA        33 11 51.46N 093 16 51.60W TOWER              1 00286 00593 D 5 D N 2007ASW07927OE C 2007315 
05-001843 O US AR EL DORADO        33 11 54.00N 092 41 06.00W TOWER              1 00320 00550 R 5 D M 2001ASW04335OE A 2001323 
05-001157 O US AR EL DORADO        33 11 59.00N 092 42 51.00W TOWER              1 00367 00627 M 1 A N 2000ASW07758OE C 2001078 
05-001760 O US AR EL DORADO        33 12 01.00N 092 38 05.00W TOWER              1 00256 00523 M 2 C N 2002ASW01696OE C 2002328 
05-000963 O US AR FOUKE            33 12 04.23N 093 54 39.55W TOWER              1 00500 00746 D 5 D N 2005ASW04426OE C 2005324 
05-006361 U US AR EUDORA           33 12 05.00N 091 15 10.00W TOWER              1 00165 00265 U     U                A 1976170 
05-002225 O US AR EL DORADO        33 12 05.76N 092 40 28.76W STACK              1 00200 00440 D 5 D N 2003ASW05873OE A 2005121 
05-006005 U US AR EL DORADO        33 12 06.00N 092 40 10.00W TOWER              1 00158 00433 U     U                A 1976053 
05-001229 O US AR EL DORADO        33 12 17.00N 092 39 55.00W TOWER              1 00150 00400 R 5 D M 1993ASW01864OE C 2014138 
05-006354 U US AR EL DORADO        33 12 20.00N 092 38 36.00W TOWER              1 00118 00368 U     U                A 1976170 
05-025341 O US AR CROSSETT         33 12 22.15N 091 48 45.65W POLE               1 00036 00211 U 1 A U                A 2013241 
05-000800 O US AR EL DORADO        33 12 22.87N 092 39 14.45W TOWER              1 00240 00525 D 1 A N 2016ASW04460OE C 2017136 
05-000097 O US AR EL DORADO        33 12 30.46N 092 41 16.56W TOWER              1 00305 00529 D 4 D N 2023ASW12117OE C 2023255 
05-000100 O US AR EL DORADO        33 12 31.00N 092 42 31.00W TOWER              1 00318 00633 M 1 A M 1997ASW03807OE C 2014138 
05-006355 U US AR EL DORADO        33 12 31.00N 092 39 09.00W TOWER              1 00120 00380 U     U                A 1976170 
05-006356 U US AR EL DORADO        33 12 34.00N 092 37 21.00W TOWER              1 00120 00230 U     U                A 1976170 
05-006357 U US AR EL DORADO        33 12 35.00N 092 37 03.00W TOWER              1 00150 00230 U     U                A 1976170 
05-072543 O US AR HAMBURG          33 12 39.11N 091 47 39.46W TOWER              1 00264 00441 D 4 D N 2017ASW00853OE A 2017279 
05-002248 O US AR EL DORADO        33 12 41.30N 092 42 16.80W TOWER              1 00270 00577 M 2 C N 2001ASW00938OE A 2005149 
05-006348 U US AR EL DORADO        33 12 45.00N 092 39 59.00W TOWER              1 00120 00380 U     U                A 1976170 
05-020193 O US AR EL DORADO        33 12 45.06N 092 40 02.28W TOWER              1 00200 00457 N 2 C N 2011ASW00581OE A 2013141 
05-000125 O US AR EL DORADO        33 12 45.50N 092 39 32.60W TOWER              1 00328 00582 D 4 D N 2009ASW05191OE C 2013318 
05-000110 O US AR EUDORA           33 12 49.00N 091 15 32.00W TOWER              1 00253 00382 M 4 E N 2004ASW04793OE C 2005149 
05-006349 U US AR EL DORADO        33 12 50.00N 092 39 31.00W TOWER              1 00128 00388 U     U                A 1976170 
05-002100 O US AR EL DORADO        33 12 53.00N 092 36 45.40W TOWER              1 00255 00493 D 4 D N 2023ASW14351OE C 2023298 
05-001324 O US AR STEPHENS         33 12 57.00N 092 58 18.00W TOWER              1 00329 00661 D 5 D N 1996ASW00765OE C 2014138 
05-000878 O US AR EL DORADO        33 12 57.00N 092 48 40.00W TOWER              1 00061 00311 L 1 A U                C 2014138 
05-022526 O US AR EL DORADO        33 12 59.17N 092 48 44.28W BLDG               1 00042 00294 R 1 A U                A 2013206 
05-000879 O US AR EL DORADO        33 13 00.00N 092 48 38.00W CTRL TWR           1 00059 00309 L 1 A U                C 2014138 
05-001782 O US AR MARYSVILLE       33 13 01.00N 092 57 28.00W TOWER              1 00320 00618 M 2 C N 2000ASW07717OE A 2001149 
05-085312 O US AR MAGNOLIA         33 13 04.71N 092 57 41.32W TOWER              1 00213 00511 D 1 A N 2018ASW06502OE A 2019318 
05-082637 O US AR EL DORADO        33 13 08.07N 092 52 11.17W TOWER              1 00260 00566 D 1 A N 2017ASW07341OE A 2018277 
05-006006 U US AR MAGNOLIA         33 13 10.00N 093 12 31.00W TOWER              1 00060 00125 U     U                A 1976053 
05-063156 U US AR MAGNOLIA         33 13 10.70N 093 13 00.08W POLE               1 00011 00333 R 1 A U                C 2018163 
05-002200 O US AR EL DORADO        33 13 10.71N 092 43 48.51W TOWER              1 00256 00523 D 2 C N 2004ASW00423OE A 2005107 
05-091653 O US AR HAMBURG          33 13 11.23N 091 48 35.42W TOWER              1 00205 00385 D 1 A N 2019ASW08792OE A 2020322 
05-006350 U US AR EL DORADO        33 13 15.00N 092 39 51.00W TOWER              1 00125 00390 U 4 D U 0071_FW00170OE C 2014124 
05-001127 O US AR MARYSVILLE       33 13 20.00N 092 55 29.00W TOWER              1 00500 00850 R 5 D M 1992ASW01475OE C 2014138 
05-001804 O US AR EL DORADO        33 13 22.00N 092 52 10.00W TOWER              1 00310 00607 M 2 C N 2001ASW00559OE A 2001211 
05-072162 U US AR HAMBURG          33 13 24.85N 091 47 45.95W TOWER              1 00199 00377 N 2 C N 2014ASW03552OE A 2018024 
05-025340 O US AR CROSSETT         33 13 26.62N 091 49 49.02W POLE               1 00037 00206 U 1 A U                A 2013241 
05-088741 O US AR EL DORADO        33 13 27.69N 092 52 00.15W TOWER              1 00215 00521 D 1 A N 2018ASW05762OE A 2020097 
05-002026 O US AR LEWISVILLE       33 13 29.00N 093 37 18.00W TOWER              1 00262 00522 D 2 C N 2003ASW06716OE A 2004018 
05-022525 O US AR EL DORADO        33 13 31.05N 092 48 24.11W TOWER              1 00044 00307 R 1 A U                A 2013206 
05-082638 O US AR MAGNOLIA         33 13 39.27N 093 22 10.28W TOWER              1 00260 00541 D 1 A N 2017ASW09015OE A 2018282 
05-000098 O US AR HAMBURG          33 13 46.00N 091 46 45.00W TOWER              1 00190 00347 N 5 D N                C 2014138 
05-000373 O US AR EL DORADO        33 13 46.00N 092 37 32.00W TOWER              1 00440 00665 R 4 D M 1972ASW00980OE C 2006141 
05-006007 U US AR HAMBURG          33 13 46.00N 091 46 52.00W TOWER              1 00120 00240 U     U                A 1976053 
05-082567 O US AR ELDORADO         33 13 47.34N 092 38 32.70W TOWER              1 00230 00465 D 1 A N 2017ASW13808OE A 2018200 
05-002201 O US AR MAGNOLIA         33 13 59.90N 093 06 22.54W TOWER              1 00258 00562 D 2 C N 2017ASW14253OE C 2017348 
05-000385 U US AR HAMBURG          33 14 00.00N 091 46 20.00W TOWER              1 00225 00399 D 4 D M 1972ASW01204OE C 2014124 
05-000954 O US AR EL DORADO        33 14 03.90N 092 40 05.50W TOWER              1 00318 00545 D 5 D N 2012ASW01401OE C 2013039 
05-002178 O US AR CALION           33 14 04.92N 092 32 16.96W TOWER              1 00260 00461 D 1 A N 2004ASW06923OE A 2005093 
05-000116 O US AR EL DORADO        33 14 06.00N 092 39 51.00W TOWER              1 00270 00466 R 5 D M 1977ASW00850OE C 2014138 
05-001336 O US AR MAGNOLIA         33 14 13.10N 093 16 20.40W TOWER              1 00349 00636 D 2 C N 2017ASW04738OE C 2017341 
05-001118 O US AR EL DORADO        33 14 14.00N 092 39 55.00W TOWER              1 00184 00391 R 4 D M 1993ASW00856OE C 2014138 
05-001348 O US AR HAMBURG          33 14 14.52N 091 45 41.75W TOWER              1 00344 00499 D 1 A N 2016ASW07691OE C 2016277 
05-006351 U US AR EL DORADO        33 14 24.00N 092 38 07.00W TOWER              1 00118 00342 U     U                A 1976170 
05-001222 O US AR URBANA           33 14 28.37N 092 24 05.16W TOWER              1 00313 00519 D 1 A N 2016ASW03619OE C 2017153 
05-000377 O US AR MAGNOLIA         33 14 30.00N 093 08 48.00W TOWER              1 00498 00842 R 4 D M 1972ASW01047OE C 2014138 
05-001038 O US AR HAMBURG          33 14 36.00N 091 45 33.00W TOWER              1 00480 00654 R 5 D M 1991ASW00506OE C 2014138 
05-000870 O US AR PORTLAND         33 14 40.80N 091 30 14.40W TOWER              1 00320 00428 R 3 C M 2006ASW03473OE C 2006162 
05-000906 U US AR PARTEE           33 14 41.00N 093 14 16.00W TOWER              1 00120 00416 U     U                A 1988354 
05-001093 O US AR PORTLAND         33 14 48.00N 091 30 15.00W TOWER              1 00422 00546 M 1 A N 1999ASW02185OE C 2014138 
05-088758 O US AR PORTLAND         33 14 49.66N 091 30 21.83W TOWER              1 00265 00388 D 1 A N 2019ASW00948OE A 2020118 
05-006353 U US AR EL DORADO        33 14 50.00N 092 51 41.00W TOWER              1 00110 00297 U 4 D U 0068_FW00183OE C 2014124 
05-082615 O US AR MAGNOLIA         33 14 53.83N 093 03 10.16W TOWER              1 00330 00622 D 1 A N 2017ASW18924OE A 2018254 
05-020172 O US AR HAMBURG          33 15 00.90N 091 45 44.70W TOWER              1 00303 00467 R 5 D P 2008ASW02425OE A 2012271 
05-001795 O US AR MAGNOLIA         33 15 01.00N 093 03 10.00W TOWER              1 00330 00632 M 2 C N 2000ASW07547OE A 2001169 
