  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
17-027320 O US IL CAIRO            37 04 38.57N 089 13 22.50W POLE               1 00031 00345 U 1 A U                A 2014010 
17-027308 O US IL CAIRO            37 04 58.11N 089 14 33.66W TOWER              1 00033 00352 U 1 A U                A 2014010 
17-080098 O US IL MOUND CITY       37 04 59.53N 089 10 18.95W TOWER              1 00239 00554 D 1 A N 2020AGL09649OE A 2021117 
17-002760 O US IL CAIRO            37 05 02.92N 089 11 01.01W TOWER              1 00202 00515 D 2 C N 2014AGL02282OE C 2014132 
17-029422 O US IL MOUND CITY       37 05 04.23N 089 09 51.52W TOWER              1 00185 00507 N 1 A N 2011AGL00079OE A 2015275 
17-027293 O US IL CAIRO            37 05 19.47N 089 11 59.39W BRIDGE             1 00028 00358 U 1 A U                A 2014010 
17-027294 O US IL CAIRO            37 05 54.96N 089 11 06.84W POLE               1 00061 00379 U 1 A U                A 2014010 
17-027309 O US IL CAIRO            37 06 07.14N 089 15 46.97W POLE               1 00034 00367 U 1 A U                A 2014010 
17-068466 U US IL MOUNDS           37 06 14.50N 089 11 53.20W TOWER              1 00150 00477 N 4 D N 2018AGL12186OE A 2018324 
17-027295 O US IL CAIRO            37 06 43.10N 089 12 06.19W TANK               1 00156 00479 U 1 A U                A 2014010 
17-027310 O US IL CAIRO            37 07 07.53N 089 15 02.60W BLDG               1 00012 00445 U 1 A U                A 2014010 
17-001387 O US IL BROOKPORT        37 08 33.00N 088 39 02.00W TOWER              1 00499 00839 R 5 D M 1998AGL01412OE C 2014138 
17-003881 O US IL BROOKPORT        37 08 54.57N 088 38 05.67W TOWER              1 00273 00636 R 5 D P 2006AGL01149OE C 2007266 
17-003882 O US IL BROOKPORT        37 08 55.37N 088 38 14.67W TOWER              1 00273 00623 R 5 D P 2006AGL01150OE C 2007266 
17-000406 O US IL METROPOLIS       37 08 57.00N 088 43 11.00W TOWER              1 00275 00615 U 4 D M 0000_CE06347OE C 2014124 
17-003883 O US IL BROOKPORT        37 08 57.27N 088 38 05.87W TOWER              1 00273 00638 R 5 D P 2006AGL01151OE C 2007266 
17-003884 O US IL BROOKPORT        37 08 57.96N 088 38 14.77W TOWER              1 00273 00625 R 5 D P 2006AGL01152OE C 2007266 
17-002943 O US IL VILLA RIDGE      37 09 06.00N 089 10 05.00W TOWER              1 00288 00727 D 2 C N 2002AGL04153OE C 2003075 
17-029588 O US IL METROPOLIS       37 09 10.00N 088 43 51.00W TOWER              1 00130 00490 N 5 D N 2011AGL04155OE A 2015314 
17-000325 O US IL METROPOLIS       37 09 12.00N 088 42 33.00W TOWER              1 00251 00584 R 1 D M                C 2014138 
17-027676 O US IL METROPOLIS       37 09 20.86N 088 44 22.67W TANK               1 00159 00520 U 1 A U                A 2014014 
17-000725 O US IL METROPOLIS       37 09 34.00N 088 45 34.00W T-L TWR            1 00396 00686 U 5 D U 1971AGL00813OE C 2014138 
17-027679 O US IL PADUCAH          37 09 35.89N 088 45 37.18W T-L TWR            1 00343 00684 R 1 A N 2018AGL01267OE C 2019101 
17-001490 O US IL METROPOLIS       37 09 39.00N 088 45 26.00W CATENARY           1 00293 00583 N 5 D N                C 2014138 
17-027681 O US IL METROPOLIS       37 09 39.06N 088 45 32.93W CATENARY           1 00300 00593 U 1 A S                A 2014029 
17-027682 O US IL METROPOLIS       37 09 41.03N 088 45 31.97W CATENARY           1 00276 00565 N 1 A S                A 2014029 
17-070908 U US IL METROPOLIS       37 09 42.20N 088 44 23.00W TOWER              1 00066 00441 N 4 D N 2018AGL00519OE A 2019100 
17-027683 O US IL METROPOLIS       37 09 42.20N 088 45 29.58W CATENARY           1 00250 00542 U 1 A S                A 2014029 
17-027680 O US IL METROPOLIS       37 09 43.99N 088 45 28.60W CATENARY           1 00207 00525 U 1 A S                A 2014029 
17-027674 O US IL METROPOLIS       37 09 44.95N 088 45 26.26W CATENARY           1 00190 00513 U 1 A U                A 2014014 
17-006276 U US IL METROPOLIS       37 09 46.00N 088 45 15.00W T-L TWR            1 00154 00514 U 4 D U 1971AGL00813OE C 2014124 
17-027673 O US IL METROPOLIS       37 09 46.88N 088 45 25.28W CATENARY           1 00181 00507 U 1 A U                A 2014014 
17-027672 O US IL METROPOLIS       37 09 47.86N 088 45 22.99W CATENARY           1 00172 00504 U 1 A U                A 2014014 
17-027671 O US IL METROPOLIS       37 09 50.27N 088 45 21.30W T-L TWR            1 00156 00513 U 1 A U                A 2014014 
17-027675 O US IL METROPOLIS       37 09 50.55N 088 45 19.83W T-L TWR            1 00151 00513 U 1 A U                A 2014014 
