  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
04-054084 U US AZ DOUGLAS          31 22 16.64N 109 41 56.00W POLE               1 00062 04203 N 4 D N 2016AWP10057OE A 2018026 
04-054087 U US AZ DOUGLAS          31 22 16.64N 109 41 56.42W POLE               1 00034 04176 N 4 D N 2016AWP10059OE A 2018027 
04-053943 U US AZ DOUGLAS          31 22 16.87N 109 41 53.82W POLE               1 00062 04201 N 4 D N 2016AWP02714OE A 2018026 
04-053954 U US AZ DOUGLAS          31 22 16.88N 109 41 56.01W POLE               1 00063 04204 N 4 D N 2016AWP02713OE A 2018027 
04-024098 U US AZ DOUGLAS          31 22 16.89N 109 41 59.07W T-L TWR            1 00062 04203 N 4 D N 2016AWP02712OE A 2017045 
04-021748 O US AZ NOGALES          31 22 43.53N 110 54 25.68W BLDG               1 00020 04070 U 1 A U                A 2013158 
04-020003 O US AZ BISBEE           31 23 28.70N 109 55 44.00W TOWER              1 00100 05018 N 5 E N 2007AWP06476OE C 2010019 
04-023950 U US AZ NOGALES          31 23 44.32N 110 55 23.15W TOWER              1 00097 04657 N 4 D N 2016AWP07738OE A 2016293 
04-021765 O US AZ NOGALES          31 23 45.19N 110 49 11.68W TANK               1 00003 04233 U 1 B U                A 2013158 
04-020717 O US AZ DOUGLAS-BISBEE   31 24 26.08N 109 35 31.47W POLE               1 00033 04051 U 1 B U                A 2013157 
04-020716 O US AZ DOUGLAS-BISBEE   31 24 29.57N 109 35 31.47W POLE               1 00035 04047 U 1 A U                A 2013157 
04-021747 O US AZ NOGALES          31 24 32.31N 110 51 30.79W FENCE              1 00005 03799 U 1 A U                A 2013158 
04-021744 O US AZ NOGALES          31 24 36.24N 110 51 19.37W FENCE              1 00004 03838 U 1 A U                A 2013158 
04-023804 O US AZ NOGALES          31 24 37.46N 110 49 31.74W TOWER              1 00080 04409 D 5 E N 2014AWP01528OE A 2015107 
04-021742 O US AZ NOGALES          31 24 39.49N 110 51 21.18W POLE               1 00001 03841 U 1 A U                A 2013158 
04-021741 O US AZ NOGALES          31 24 40.50N 110 51 22.26W SIGN               1 00003 03842 U 1 A U                A 2013158 
04-021746 O US AZ NOGALES          31 24 40.87N 110 51 35.58W POLE               1 00052 03863 U 1 A U                A 2013158 
