  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
CU-000083 O CU    CUBA             19 59 31.00N 075 52 14.00W STACK              1 00465 00480 U 9 I U                A 1996351 
CU-000084 O CU    CUBA             19 59 32.40N 075 52 11.50W STACK              1 00345 00345 U 4 D U                C 2017005 
CU-000085 O CU    CUBA             19 59 34.00N 075 52 09.60W STACK              1 00215 00215 U 4 D U                C 2017005 
CU-000086 O CU    CUBA             19 59 53.90N 075 51 46.60W T-L TWR            1 00210 00210 U 5 D U                C 2017005 
CU-000087 O CU    CUBA             20 01 17.00N 075 52 32.00W TOWER              1 00300 00347 U 4 D U                C 2009075 
CU-000089 O CU    CUBA             20 02 58.00N 077 34 51.00W STACK              1 00215 00240 U 9 I U                A 1996351 
CU-000090 O CU    CUBA             20 03 20.02N 075 48 15.74W TOWER              1 00307 00460 U 2 D U                C 2017335 
CU-000091 O CU    CUBA             20 03 22.00N 075 08 36.00W STACK              1 00205 00215 U 4 F U                C 2006323 
CU-000092 O CU    CUBA             20 03 22.00N 075 08 37.00W STACK              1 00240 00250 U 4 F U                C 2006344 
CU-000095 O CU    CUBA             20 04 20.80N 074 38 35.80W TOWER              1 00310 00390 U 4 D U                C 2023191 
CU-000096 O CU    CUBA             20 05 58.97N 075 49 47.41W TOWER              1 00360 01961 L 2 C P                C 2023164 
CU-000098 O CU    CUBA             20 06 30.00N 075 13 10.00W TOWER              1 00310 00385 U 5 F U                C 2006240 
CU-000099 O CU    CUBA             20 08 13.00N 077 00 04.00W TOWER              1 00400 00597 U 9 I U                A 1996351 
CU-000101 O CU    CUBA             20 08 31.00N 077 25 46.00W STACK              1 00200 00235 U 5 F U                C 2006204 
CU-000102 O CU    CUBA             20 08 32.00N 077 25 45.00W STACK              1 00200 00235 U 5 F U                C 2006323 
CU-000103 O CU    CUBA             20 08 57.40N 077 26 00.40W TOWER              1 00310 00344 U 4 D U                C 2023235 
CU-000104 O CU    CUBA             20 10 01.51N 075 10 11.43W TOWER              1 00295 00546 U 2 D U                C 2018031 
CU-000105 O CU    CUBA             20 10 38.00N 075 25 14.00W STACK              1 00230 00705 U 5 F U                C 2006204 
CU-000106 O CU    CUBA             20 10 46.00N 075 03 20.00W STACK              1 00260 00785 U 4 F U                C 2006190 
CU-000107 O CU    CUBA             20 10 48.70N 075 29 32.90W STACK              1 00280 00658 U 5 D U                C 2023212 
CU-000108 O CU    CUBA             20 10 50.30N 075 29 32.00W STACK              1 00315 00686 U 5 D U                C 2023191 
CU-000109 O CU    CUBA             20 11 34.40N 075 49 51.10W STACK              1 00230 00760 U 4 D U                C 2023215 
CU-000110 O CU    CUBA             20 11 57.05N 075 58 50.64W TOWER              1 00322 00909 U 3 D U                C 2018127 
CU-000111 O CU    CUBA             20 12 17.00N 075 10 35.00W STACK              1 00240 00550 U 4 F U                C 2006190 
CU-000112 O CU    CUBA             20 12 27.00N 077 21 43.00W STACK              1 00220 00255 U 5 D U                C 2006218 
CU-000113 O CU    CUBA             20 12 37.00N 075 07 45.00W STACK              1 00235 00495 U 5 F U                C 2006316 
CU-000114 O CU    CUBA             20 13 11.00N 075 13 59.00W STACK              1 00240 00550 U 4 F U                C 2006323 
CU-000115 O CU    CUBA             20 13 17.00N 077 19 20.00W STACK              1 00235 00250 U 5 F U                C 2006190 
CU-000116 O CU    CUBA             20 14 02.00N 077 16 35.00W STACK              1 00235 00265 U 5 D U                C 2006232 
CU-000117 O CU    CUBA             20 14 03.00N 076 00 11.00W STACK              1 00210 00605 U 4 F U                C 2006218 
CU-000118 O CU    CUBA             20 14 04.00N 076 00 12.00W STACK              1 00230 00625 U 4 E U                C 2006323 
CU-000119 O CU    CUBA             20 15 44.80N 075 02 55.80W TOWER              1 00740 03245 U 4 D U                C 2023163 
CU-000120 O CU    CUBA             20 16 16.00N 077 12 31.00W STACK              1 00220 00290 U 5 D U                C 2006323 
CU-000121 O CU    CUBA             20 19 40.76N 074 35 35.37W TOWER              1 00510 02372 U 3 D U                C 2018130 
CU-000123 O CU    CUBA             20 20 19.40N 074 28 55.20W TOWER              1 00305 00319 U 4 D U                C 2023200 
CU-000124 O CU    CUBA             20 20 29.84N 077 07 01.50W TOWER              1 00270 00371 U 2 D U                C 2018292 
CU-000125 O CU    CUBA             20 21 38.30N 074 31 01.60W TOWER              1 00270 00334 U 4 D U                C 2023230 
CU-000126 O CU    CUBA             20 22 03.00N 075 54 31.00W STACK              1 00245 00945 U 9 I U                A 1996351 
CU-000127 O CU    CUBA             20 34 01.00N 075 56 31.00W STACK              1 00220 00470 U 9 I U                C 2004186 
CU-000128 O CU    CUBA             20 34 01.00N 075 56 32.00W STACK              1 00210 00460 U 9 I U                C 2004186 
CU-000129 O CU    CUBA             20 35 23.00N 076 08 45.00W TOWER              1 00510 00790 U 9 I U                A 1996351 
CU-000130 O CU    CUBA             20 36 01.00N 076 08 15.00W STACK              1 00235 00515 U 4 F U                C 2006232 
CU-000131 O CU    CUBA             20 36 01.00N 076 08 14.00W STACK              1 00235 00515 U 4 F U                C 2006204 
CU-000132 O CU    CUBA             20 36 47.10N 074 50 05.90W STACK              1 00455 00598 U 4 D U                C 2023159 
