  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
37-022206 O US NC OAK ISLAND       33 55 20.37N 078 04 18.39W T-L TWR            1 00134 00146 U 2 C U                A 2012269 
37-022189 O US NC OAK ISLAND       33 55 23.24N 078 04 17.90W T-L TWR            1 00114 00124 U 1 A U                A 2012269 
37-022149 O US NC OAK ISLAND       33 55 25.37N 078 04 38.66W BLDG               1 00057 00065 U 1 A U                A 2012269 
37-022190 O US NC OAK ISLAND       33 55 25.65N 078 04 18.46W T-L TWR            1 00090 00099 U 1 A U                A 2012269 
37-020162 U US NC SUNSET BEACH     33 55 27.65N 078 30 02.87W TOWER              1 00315 00366 D 4 D N 2009ASO06450OE C 2014124 
37-022191 O US NC OAK ISLAND       33 55 27.94N 078 04 18.10W T-L TWR            1 00078 00087 U 1 A U                A 2012269 
37-022148 O US NC OAK ISLAND       33 55 28.63N 078 04 38.69W POLE               1 00019 00029 U 1 A U                A 2012269 
37-022146 O US NC OAK ISLAND       33 55 30.29N 078 04 34.52W BLDG               1 00057 00071 U 1 A U                A 2012269 
37-022188 O US NC OAK ISLAND       33 55 30.29N 078 04 17.76W T-L TWR            1 00073 00086 U 1 A U                A 2012269 
37-022147 O US NC OAK ISLAND       33 55 30.87N 078 04 36.29W POLE               1 00014 00029 U 1 A U                A 2012269 
37-000812 U US NC LOCKWOODS FOLLY  33 55 31.00N 078 09 14.00W BRIDGE             1 00100 00120 U     U                A 1981091 
37-022145 O US NC OAK ISLAND       33 55 31.81N 078 04 33.02W POLE               1 00017 00031 U 1 A U                A 2012269 
37-022187 O US NC OAK ISLAND       33 55 32.51N 078 04 17.43W T-L TWR            1 00068 00083 U 1 A U                A 2012269 
37-022144 O US NC OAK ISLAND       33 55 33.14N 078 04 31.15W BLDG               1 00057 00072 U 1 A U                A 2012269 
37-022143 O US NC OAK ISLAND       33 55 34.33N 078 04 25.75W BLDG               1 00063 00078 U 1 A U                A 2012269 
37-022186 O US NC OAK ISLAND       33 55 34.59N 078 04 17.11W T-L TWR            1 00067 00084 U 1 A U                A 2012269 
37-020086 O US NC SUPPLY           33 55 35.23N 078 19 57.73W TOWER              1 00255 00286 D 4 D N 2023ASO06103OE C 2023304 
37-022137 O US NC OAK ISLAND       33 55 35.50N 078 04 15.24W POLE               1 00084 00101 U 1 A U                A 2012269 
37-022136 O US NC OAK ISLAND       33 55 35.79N 078 04 15.10W POLE               1 00040 00056 U 1 A U                A 2012269 
37-021986 O US NC OAK ISLAND       33 55 36.74N 078 04 40.70W NAVAID             1 00007 00022 U 1 A U                A 2012269 
37-022185 O US NC OAK ISLAND       33 55 36.82N 078 04 16.78W T-L TWR            1 00069 00086 U 1 A U                A 2012269 
37-022132 O US NC OAK ISLAND       33 55 37.85N 078 04 15.24W POLE               1 00032 00049 U 1 A U                A 2012269 
37-000634 O US NC SHALLOTTE        33 55 38.00N 078 23 47.00W TOWER              1 00344 00360 R 4 D M 1989ASO01448OE C 2014152 
