  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
34-062532 U US NJ MIDDLE TOWNSHIP  39 03 37.65N 074 46 15.83W UTILITY POLE       1 00081 00087 N 4 D N 2017AEA08537OE A 2018030 
34-062554 U US NJ MIDDLE TOWNSHIP  39 03 38.41N 074 45 09.82W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08571OE A 2018030 
34-062635 U US NJ MIDDLE TOWNSHIP  39 03 38.53N 074 46 17.37W UTILITY POLE       1 00081 00087 N 4 D N 2017AEA08536OE A 2018030 
34-062632 U US NJ MIDDLE TOWNSHIP  39 03 39.33N 074 46 18.71W UTILITY POLE       1 00078 00084 N 4 D N 2017AEA08535OE A 2018030 
34-062576 U US NJ MIDDLE TOWNSHIP  39 03 39.53N 074 45 08.88W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08572OE A 2018030 
34-062634 U US NJ MIDDLE TOWNSHIP  39 03 40.24N 074 46 20.28W UTILITY POLE       1 00080 00085 N 4 D N 2017AEA08534OE A 2018030 
34-062563 U US NJ MIDDLE TOWNSHIP  39 03 40.78N 074 45 07.84W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08573OE A 2018030 
34-062631 U US NJ MIDDLE TOWNSHIP  39 03 41.39N 074 46 22.33W UTILITY POLE       1 00078 00084 N 4 D N 2017AEA08533OE A 2018030 
34-062568 U US NJ MIDDLE TOWNSHIP  39 03 41.83N 074 45 06.96W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08574OE A 2018030 
34-062636 U US NJ MIDDLE TOWNSHIP  39 03 42.56N 074 46 24.30W UTILITY POLE       1 00084 00088 N 4 D N 2017AEA08532OE A 2018030 
34-062556 U US NJ MIDDLE TOWNSHIP  39 03 43.09N 074 45 05.89W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08575OE A 2018030 
34-062557 U US NJ MIDDLE TOWNSHIP  39 03 44.32N 074 45 04.84W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08576OE A 2018030 
34-062637 U US NJ MIDDLE TOWNSHIP  39 03 44.61N 074 46 27.85W UTILITY POLE       1 00083 00087 N 4 D N 2017AEA08531OE A 2018030 
34-062581 U US NJ MIDDLE TOWNSHIP  39 03 45.42N 074 45 03.91W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08577OE A 2018030 
34-062559 U US NJ MIDDLE TOWNSHIP  39 03 46.44N 074 45 03.05W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08578OE A 2018030 
34-062633 U US NJ MIDDLE TOWNSHIP  39 03 46.66N 074 46 31.36W UTILITY POLE       1 00084 00088 N 4 D N 2017AEA08530OE A 2018030 
34-062560 U US NJ MIDDLE TOWNSHIP  39 03 47.68N 074 45 02.02W UTILITY POLE       1 00070 00076 N 4 D N 2017AEA08579OE A 2018030 
34-062561 U US NJ MIDDLE TOWNSHIP  39 03 48.60N 074 45 01.25W UTILITY POLE       1 00070 00076 N 4 D N 2017AEA08580OE A 2018030 
34-062638 U US NJ MIDDLE TOWNSHIP  39 03 48.74N 074 46 34.89W UTILITY POLE       1 00083 00088 N 4 D N 2017AEA08529OE A 2018030 
34-062564 U US NJ MIDDLE TOWNSHIP  39 03 49.47N 074 45 00.53W UTILITY POLE       1 00076 00082 N 4 D N 2017AEA08581OE A 2018030 
34-062562 U US NJ MIDDLE TOWNSHIP  39 03 50.42N 074 45 02.13W UTILITY POLE       1 00075 00080 N 4 D N 2017AEA08582OE A 2018030 
34-062623 U US NJ MIDDLE TOWNSHIP  39 03 50.77N 074 46 38.44W UTILITY POLE       1 00083 00087 N 4 D N 2017AEA08527OE A 2018030 
34-062565 U US NJ MIDDLE TOWNSHIP  39 03 51.08N 074 45 03.40W UTILITY POLE       1 00075 00080 N 4 D N 2017AEA08583OE A 2018030 
34-062566 U US NJ MIDDLE TOWNSHIP  39 03 51.74N 074 45 04.67W UTILITY POLE       1 00076 00081 N 4 D N 2017AEA08584OE A 2018030 
34-062567 U US NJ MIDDLE TOWNSHIP  39 03 52.40N 074 45 05.98W UTILITY POLE       1 00075 00079 N 4 D N 2017AEA08585OE A 2018030 
34-062619 U US NJ MIDDLE TOWNSHIP  39 03 52.83N 074 46 41.97W UTILITY POLE       1 00083 00087 N 4 D N 2017AEA08526OE A 2018030 
34-062569 U US NJ MIDDLE TOWNSHIP  39 03 52.94N 074 45 07.30W UTILITY POLE       1 00076 00080 N 4 D N 2017AEA08586OE A 2018031 
34-062570 U US NJ MIDDLE TOWNSHIP  39 03 53.48N 074 45 06.86W UTILITY POLE       1 00071 00075 N 4 D N 2017AEA08587OE A 2018030 
34-062628 U US NJ MIDDLE TOWNSHIP  39 03 53.89N 074 46 43.75W UTILITY POLE       1 00083 00087 N 4 D N 2017AEA08525OE A 2018030 
34-062572 U US NJ MIDDLE TOWNSHIP  39 03 54.48N 074 45 06.01W UTILITY POLE       1 00071 00075 N 4 D N 2017AEA08588OE A 2018030 
34-062615 U US NJ MIDDLE TOWNSHIP  39 03 54.88N 074 46 45.51W UTILITY POLE       1 00084 00089 N 4 D N 2017AEA08524OE A 2018030 
34-062571 U US NJ MIDDLE TOWNSHIP  39 03 55.18N 074 45 05.42W UTILITY POLE       1 00071 00075 N 4 D N 2017AEA08589OE A 2018030 
34-062577 U US NJ MIDDLE TOWNSHIP  39 03 56.74N 074 45 04.10W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08590OE A 2018030 
34-062617 U US NJ MIDDLE TOWNSHIP  39 03 56.86N 074 46 48.85W UTILITY POLE       1 00084 00087 N 4 D N 2017AEA08523OE A 2018030 
34-062618 U US NJ MIDDLE TOWNSHIP  39 03 57.67N 074 46 50.26W UTILITY POLE       1 00083 00087 N 4 D N 2017AEA08522OE A 2018030 
34-062573 U US NJ MIDDLE TOWNSHIP  39 03 58.10N 074 45 02.96W UTILITY POLE       1 00071 00075 N 4 D N 2017AEA08591OE A 2018030 
34-062578 U US NJ MIDDLE TOWNSHIP  39 03 58.93N 074 45 02.26W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08592OE A 2018030 
34-062621 U US NJ MIDDLE TOWNSHIP  39 03 59.18N 074 46 53.07W UTILITY POLE       1 00078 00082 N 4 D N 2017AEA08521OE A 2018030 
34-062582 U US NJ MIDDLE TOWNSHIP  39 03 59.81N 074 45 01.52W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08593OE A 2018030 
34-062616 U US NJ MIDDLE TOWNSHIP  39 04 00.35N 074 46 55.52W UTILITY POLE       1 00078 00081 N 4 D N 2017AEA08520OE A 2018030 
34-062627 U US NJ MIDDLE TOWNSHIP  39 04 00.73N 074 46 56.57W UTILITY POLE       1 00078 00082 N 4 D N 2017AEA08519OE A 2018030 
34-062626 U US NJ MIDDLE TOWNSHIP  39 04 01.20N 074 46 57.95W UTILITY POLE       1 00079 00084 N 4 D N 2017AEA08518OE A 2018030 
34-062574 U US NJ MIDDLE TOWNSHIP  39 04 01.31N 074 45 00.25W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08594OE A 2018030 
34-062625 U US NJ MIDDLE TOWNSHIP  39 04 01.91N 074 46 59.44W UTILITY POLE       1 00083 00089 N 4 D N 2017AEA08517OE A 2018030 
34-062575 U US NJ MIDDLE TOWNSHIP  39 04 02.67N 074 44 59.10W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08595OE A 2018030 
34-062629 U US NJ MIDDLE TOWNSHIP  39 04 03.18N 074 47 03.62W UTILITY POLE       1 00084 00087 N 4 D N 2017AEA08516OE A 2018030 
34-062584 U US NJ MIDDLE TOWNSHIP  39 04 03.56N 074 44 58.36W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08596OE A 2018030 
34-062624 U US NJ MIDDLE TOWNSHIP  39 04 03.60N 074 47 05.40W UTILITY POLE       1 00078 00084 N 4 D N 2017AEA08515OE A 2018030 
34-062620 U US NJ MIDDLE TOWNSHIP  39 04 04.12N 074 47 07.69W UTILITY POLE       1 00077 00083 N 4 D N 2017AEA08514OE A 2018030 
34-062587 U US NJ MIDDLE TOWNSHIP  39 04 04.45N 074 44 57.61W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08597OE A 2018030 
