  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
23-021539 O US ME SANFORD          43 23 33.31N 070 41 33.06W POLE               1 00034 00263 U 1 A U                A 2011007 
23-022641 O US ME SANFORD          43 23 38.51N 070 41 52.98W SIGN               1 00002 00231 U 1 A U                A 2013164 
23-022644 O US ME SANFORD          43 23 38.72N 070 42 02.30W NAVAID             1 00016 00245 U 1 A U                A 2013164 
23-022643 O US ME SANFORD          43 23 40.06N 070 42 01.11W SIGN               1 00004 00234 U 1 A U                A 2013164 
23-022692 O US ME SANFORD          43 23 42.56N 070 41 59.23W GEN UTIL           1 00004 00234 U 1 A U                A 2013164 
23-022640 O US ME SANFORD          43 23 42.57N 070 41 54.74W SIGN               1 00003 00232 U 1 A U                A 2013164 
23-022669 O US ME SANFORD          43 23 42.74N 070 41 39.52W T-L TWR            1 00034 00262 U 1 A U                A 2013164 
23-022645 O US ME SANFORD          43 23 44.19N 070 42 06.99W SIGN               1 00006 00236 U 1 A U                A 2013164 
23-048149 U US ME KENNEBUNK        43 23 44.61N 070 32 56.80W BLDG               1 00044 00124 N 4 D N 2016ANE01886OE A 2018025 
23-022693 O US ME SANFORD          43 23 44.72N 070 42 02.41W GEN UTIL           1 00007 00236 U 1 A U                A 2013164 
23-048147 U US ME KENNEBUNK        43 23 45.89N 070 32 54.45W BLDG               1 00044 00124 N 4 D N 2016ANE01887OE A 2018025 
23-022642 O US ME SANFORD          43 23 46.42N 070 42 01.75W SIGN               1 00004 00233 U 1 A U                A 2013164 
23-048148 U US ME KENNEBUNK        43 23 47.27N 070 32 57.28W BLDG               1 00043 00123 N 4 D N 2016ANE01643OE A 2018025 
23-022691 O US ME SANFORD          43 23 48.02N 070 41 57.96W GEN UTIL           1 00005 00234 U 1 A U                A 2013164 
23-022694 O US ME SANFORD          43 23 48.65N 070 42 12.93W GEN UTIL           1 00001 00233 U 1 A U                A 2013164 
23-048150 U US ME KENNEBUNK        43 23 49.67N 070 33 01.04W BLDG               1 00044 00124 N 4 D N 2016ANE01885OE A 2018025 
23-022705 O US ME SANFORD          43 23 50.58N 070 41 52.38W POLE               1 00019 00249 U 1 A U                A 2013164 
23-022660 O US ME SANFORD          43 23 51.75N 070 41 51.16W POLE               1 00022 00253 U 1 A U                A 2013164 
23-022668 O US ME SANFORD          43 23 52.01N 070 41 46.44W T-L TWR            1 00021 00252 U 1 A U                A 2013164 
23-022670 O US ME SANFORD          43 23 52.28N 070 41 44.83W T-L TWR            1 00027 00258 U 1 A U                A 2013164 
23-022673 O US ME SANFORD          43 23 52.57N 070 41 43.25W T-L TWR            1 00028 00259 U 1 A U                A 2013164 
23-022659 O US ME SANFORD          43 23 52.78N 070 41 53.45W T-L TWR            1 00023 00255 U 1 A U                A 2013164 
23-021523 O US ME SANFORD          43 23 53.04N 070 42 43.97W POLE               1 00030 00269 U 1 A U                A 2011007 
23-022656 O US ME SANFORD          43 23 53.14N 070 41 56.46W T-L TWR            1 00026 00257 U 1 A U                A 2013164 
23-022639 O US ME SANFORD          43 23 53.31N 070 42 01.53W BLDG               1 00025 00255 U 1 A U                A 2013164 
23-022677 O US ME SANFORD          43 23 53.45N 070 41 38.34W T-L TWR            1 00034 00266 U 1 A U                A 2013164 
23-022657 O US ME SANFORD          43 23 54.19N 070 41 56.89W T-L TWR            1 00040 00272 U 1 A U                A 2013164 
23-021521 O US ME SANFORD          43 23 54.69N 070 43 08.19W NAVAID             1 00029 00377 U 1 A U                C 2013273 
