  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
MX-000069 O MX    MEXICO           23 13 04.00N 106 23 03.00W TOWER              1 00305 00335 N 9 A U                C 2011320 
MX-000070 O MX    MEXICO           23 17 01.00N 106 25 09.00W TOWER              1 00246 00356 U 9 A U                C 2011320 
MX-000075 O MX    MEXICO           23 45 08.00N 099 08 40.00W TOWER              1 00220 01202 U 9 I U                C 2007056 
MX-000077 O MX    MEXICO           23 49 40.00N 103 02 17.00W TOWER              1 00345 07295 N 9 A U                C 2011320 
MX-000079 O MX    MEXICO           24 01 17.00N 104 40 59.00W TOWER              1 00225 06727 U 5 C U                C 2009328 
MX-000082 O MX    MEXICO           24 02 39.00N 104 35 59.00W TOWER              1 00269 06399 U 5 C U                C 2011235 
MX-000083 O MX    MEXICO           24 03 31.00N 110 35 05.00W TOWER              1 00375 01282 U 6 D U                C 2009328 
MX-000084 O MX    MEXICO           24 10 28.00N 110 18 09.00W TOWER              1 00304 00318 U 2 B U                C 2006225 
MX-000085 O MX    MEXICO           24 19 09.00N 107 22 06.00W STACK              1 00325 00371 U 5 C U                C 2011235 
MX-000086 O MX    MEXICO           24 33 14.00N 104 01 24.00W TOWER              1 00210 07071 U 2 D U                C 2006225 
MX-000088 O MX    MEXICO           24 45 24.08N 107 41 40.89W STACK              1 00270 00340 U 2 D U                C 2017009 
MX-000089 O MX    MEXICO           24 47 17.36N 107 23 06.04W TOWER              1 00305 00745 U 4 D U                C 2017283 
MX-000091 O MX    MEXICO           24 48 16.90N 107 21 06.60W TOWER              1 00350 00528 U 2 D U                C 2017283 
MX-000094 O MX    MEXICO           24 48 43.00N 107 24 21.00W TOWER              1 00190 00307 U 2 D U                C 2017283 
MX-000098 O MX    MEXICO           24 49 09.00N 107 28 49.00W TOWER              1 00245 00350 U 9 C U                C 2011319 
MX-000102 O MX    MEXICO           25 03 38.00N 105 23 48.00W TOWER              1 00350 06150 N 9 I U                A 1996351 
MX-000103 O MX    MEXICO           25 08 07.00N 099 48 09.00W TOWER              1 00190 01836 U 4 C U                C 2011235 
MX-000108 O MX    MEXICO           25 25 15.00N 101 00 12.00W BLDG               1 00210 05476 U 5 D N                C 2011229 
MX-000114 O MX    MEXICO           25 31 33.00N 103 26 25.00W STACK              1 00205 03927 U 3 C U                C 2010244 
MX-000115 O MX    MEXICO           25 31 45.00N 103 26 32.00W STACK              1 00210 03925 U 3 C U                C 2010238 
MX-000116 O MX    MEXICO           25 32 18.00N 103 27 55.00W TOWER              1 00260 04010 N 9 I U                A 1996351 
MX-000117 O MX    MEXICO           25 32 20.00N 103 27 18.00W TOWER              1 00320 03750 U 9 I U                A 1996351 
MX-000118 O MX    MEXICO           25 32 30.00N 103 31 12.00W TOWER              1 00305 04012 N 9 I U                C 2002160 
MX-000119 O MX    MEXICO           25 33 21.00N 103 27 06.00W TOWER              1 00415 04116 U 5 C U                C 2011235 
MX-000124 O MX    MEXICO           25 36 49.00N 109 02 44.00W TOWER              1 00440 00501 U 5 C U                C 2007049 
MX-000127 O MX    MEXICO           25 37 47.00N 100 18 48.00W TOWER              1 00570 03006 U 5 D U                C 2011235 
MX-000130 O MX    MEXICO           25 39 10.00N 100 18 28.00W TOWER              1 00235 02068 U 4 D U                C 2011237 
MX-000131 O MX    MEXICO           25 39 18.00N 103 28 17.00W TOWER              1 00361 04159 U 9 I U                A 1996351 
MX-000134 O MX    MEXICO           25 40 04.00N 100 18 29.00W TOWER              1 00427 02192 U 9 I U                A 1996351 
MX-000138 O MX    MEXICO           25 40 30.00N 100 18 33.00W TOWER              1 00257 02028 U 5 D U                C 2011237 
MX-000139 O MX    MEXICO           25 40 30.00N 100 20 34.00W TOWER              1 00220 02189 U 4 D U                C 2011235 
MX-000141 O MX    MEXICO           25 40 34.00N 100 17 19.00W BLDG               1 00150 01800 U 9 I N                C 2000297 
MX-000144 O MX    MEXICO           25 41 24.00N 100 18 24.00W STACK              1 00170 01830 U 9 I U                C 2000297 
MX-000145 O MX    MEXICO           25 41 21.00N 100 18 39.00W TOWER              1 00485 02251 U 4 D U                C 2011235 
MX-000146 O MX    MEXICO           25 42 21.00N 100 10 07.00W TOWER              1 00215 01649 U 5 D U                C 2011228 
MX-000148 O MX    MEXICO           25 42 24.00N 100 14 31.00W TOWER              1 00243 01893 U 9 I U                A 1996351 
MX-000150 O MX    MEXICO           25 42 48.00N 100 11 56.00W TOWER              1 00400 01896 U 2 D U                C 2012003 
MX-000151 O MX    MEXICO           25 44 14.00N 100 14 35.00W TOWER              1 00330 01886 U 5 D U                C 2011237 
MX-000152 O MX    MEXICO           25 45 20.00N 103 00 15.00W TOWER              1 00216 03816 U 9 I U                A 1996351 
MX-000153 O MX    MEXICO           25 45 23.00N 102 59 12.00W TOWER              1 00195 03820 U 4 F U                C 2007071 
MX-000154 O MX    MEXICO           25 46 23.00N 100 33 11.00W STACK              1 00285 02570 U 5 D U                C 2011235 
MX-000155 O MX    MEXICO           25 46 16.00N 100 14 47.00W TOWER              1 00420 01937 U 5 F U                C 2007056 
MX-000156 O MX    MEXICO           25 47 12.00N 108 59 53.00W STACK              1 00355 00375 N 9 I U                A 1996351 
MX-000157 O MX    MEXICO           25 48 19.00N 108 52 12.00W TOWER              1 00280 00340 U 9 E U                C 2007049 
MX-000158 O MX    MEXICO           25 48 29.00N 108 58 10.00W TOWER              1 00220 00688 U 2 C U                C 2007063 
MX-000159 O MX    MEXICO           25 52 03.00N 097 30 24.00W TOWER              1 00253 00304 U 9 I U                A 1996351 
MX-000166 O MX    MEXICO           26 02 30.00N 098 13 15.00W TOWER              1 00394 00524 U 9 C U                C 2011237 
MX-000168 O MX    MEXICO           26 05 45.00N 098 17 11.00W TOWER              1 00298 00379 U 9 I U                C 2004095 
MX-000170 O MX    MEXICO           26 20 00.00N 100 09 00.00W TOWER              1 00353 02377 U 9 C U                C 2011235 
MX-000171 O MX    MEXICO           26 48 50.00N 105 48 40.00W TOWER              1 00240 06436 U 9 I U                A 1996351 
MX-000172 O MX    MEXICO           26 49 35.00N 109 38 35.00W TOWER              1 00394 00516 N 9 I U                C 2004088 
MX-000175 O MX    MEXICO           26 53 20.00N 101 27 34.00W STACK              2 00395 02435 U 9 E U                C 2007042 
MX-000176 O MX    MEXICO           26 54 07.00N 101 28 01.00W STACK              1 00200 02200 U 9 I U                A 1996351 
MX-000177 O MX    MEXICO           26 54 14.00N 101 25 08.00W TOWER              1 00200 02170 N 9 I U                A 1996351 
MX-000178 O MX    MEXICO           26 54 13.00N 101 24 51.00W TOWER              1 00200 02187 N 2 D U                C 2012003 
MX-000179 O MX    MEXICO           26 54 29.00N 101 27 50.00W TOWER              3 00200 02200 U 9 I U                A 1996351 
MX-000183 O MX    MEXICO           27 04 52.00N 109 27 13.00W TOWER              1 00215 00343 N 9 C U                C 2011235 
MX-000184 O MX    MEXICO           27 21 05.00N 109 55 49.00W TOWER              1 00235 00367 U 6 D U                C 2007063 
MX-000185 O MX    MEXICO           27 28 30.00N 109 58 00.00W TOWER              1 00245 00352 N 9 C U                C 2011235 
MX-000186 O MX    MEXICO           27 28 50.00N 099 30 28.00W TOWER              1 00341 00765 U 9 I U                C 2004088 
MX-000189 O MX    MEXICO           27 29 48.00N 099 30 00.00W TOWER              1 00230 00729 U 9 I U                A 1996351 
MX-000190 O MX    MEXICO           27 31 06.00N 109 56 08.00W TOWER              1 00265 00374 N 6 D U                C 2006365 
MX-000191 O MX    MEXICO           27 33 47.00N 109 55 33.00W TOWER              1 00250 00363 U 6 D U                C 2007049 
MX-000192 O MX    MEXICO           27 34 22.00N 109 57 04.00W TOWER              1 00220 00315 N 9 C U                C 2011238 
MX-000193 O MX    MEXICO           27 50 34.00N 101 07 23.00W TOWER              1 00410 01482 U 9 I U                C 2004088 
MX-000197 O MX    MEXICO           27 56 31.00N 110 54 18.00W TOWER              1 00245 01784 U 5 C U                C 2009328 
MX-000201 O MX    MEXICO           28 25 01.00N 106 52 57.00W TOWER              1 00347 07062 U 4 D U                C 2009328 
MX-000203 O MX    MEXICO           28 28 51.00N 106 42 55.00W STACK              1 00185 06824 U 4 D U                C 2011235 
MX-000206 O MX    MEXICO           28 37 20.00N 106 00 29.00W STACK              1 00415 05106 U 4 D U                C 2011238 
MX-000211 O MX    MEXICO           28 38 34.00N 106 05 09.00W TOWER              1 00340 05039 U 4 D U                C 2011238 
MX-000214 O MX    MEXICO           28 41 29.00N 106 07 31.00W TOWER              1 00385 05242 U 4 D U                C 2011238 
MX-000222 O MX    MEXICO           29 02 32.00N 110 57 00.00W TOWER              1 00277 01099 U 9 I U                A 1996351 
MX-000223 O MX    MEXICO           29 03 30.00N 110 58 40.00W TOWER              1 00220 01820 N 9 I U                A 1996351 
MX-000236 O MX    MEXICO           30 29 21.00N 109 38 02.00W STACK              1 00250 04988 U 4 D U                C 2009328 
MX-000237 O MX    MEXICO           30 29 22.00N 109 38 01.00W STACK              1 00890 05631 U 4 D U                C 2010243 
MX-000238 O MX    MEXICO           30 41 50.00N 112 09 29.00W TOWER              1 00210 01190 U 9 I U                A 1996351 
MX-000240 O MX    MEXICO           30 58 57.00N 110 18 01.00W TOWER              1 00390 01850 N 9 I U                A 1996351 
MX-000254 O MX    MEXICO           31 44 23.00N 106 28 41.00W TOWER              1 00236 04186 U 9 I U                A 1996351 
MX-000256 O MX    MEXICO           31 51 10.00N 116 38 09.00W TOWER              1 00262 00282 U 9 I U                A 1996351 
MX-000260 O MX    MEXICO           32 22 41.00N 117 04 26.00W PLANT              1 00275 00336 U 4 C U                C 2010244 
MX-000261 O MX    MEXICO           32 24 11.00N 117 05 23.00W TOWER              1 00420 00478 U 4 C U                C 2010243 
MX-000262 O MX    MEXICO           32 24 12.00N 117 05 18.00W TOWER              1 00420 00483 U 4 C U                C 2010084 
MX-000263 O MX    MEXICO           32 24 14.00N 117 05 13.00W TOWER              1 00420 00507 U 4 C U                C 2010244 
MX-000265 O MX    MEXICO           32 25 04.00N 117 05 22.00W TOWER              1 00320 00500 U 4 C U                C 2010084 
MX-000266 O MX    MEXICO           32 25 08.00N 117 05 35.00W TOWER              1 00360 00457 U 4 C U                C 2010243 
MX-000267 O MX    MEXICO           32 25 09.00N 117 05 25.00W TOWER              1 00320 00486 U 4 C U                C 2010084 
MX-000268 O MX    MEXICO           32 25 13.00N 117 05 27.00W TOWER              1 00320 00477 U 4 C U                C 2010238 
MX-000269 O MX    MEXICO           32 25 17.00N 117 05 40.00W TOWER              1 00320 00402 U 4 C U                C 2010084 
MX-000270 O MX    MEXICO           32 25 18.00N 117 05 35.00W TOWER              1 00320 00455 U 4 C U                C 2010084 
MX-000271 O MX    MEXICO           32 25 19.00N 117 05 34.00W TOWER              1 00320 00466 U 4 C U                C 2010084 
MX-000274 O MX    MEXICO           32 30 02.00N 117 02 25.00W TOWER              1 00450 01320 U 4 C U                C 2007071 
MX-000275 O MX    MEXICO           32 30 35.40N 116 57 24.40W TOWER              1 00460 00740 U 5 D U                C 2017349 
MX-000276 O MX    MEXICO           32 30 42.00N 117 01 00.00W TOWER              1 00280 00425 U 5 C U                C 2006225 
MX-000277 O MX    MEXICO           32 30 51.00N 117 00 24.00W BLDG               2 00305 00450 U 5 C N                C 2007063 
MX-000278 O MX    MEXICO           32 31 03.00N 117 01 53.00W BLDG               1 00253 00423 U 5 D N                C 2006275 
MX-000280 O MX    MEXICO           32 32 20.90N 117 02 59.30W BLDG-TWR           1 00215 00265 U 5 D U                C 2018233 
MX-000289 O MX    MEXICO           32 38 33.00N 115 30 23.00W TOWER              1 00203 00208 U 9 I U                A 1996351 
MX-000296 O MX    MEXICO           14 43 49.00N 092 09 35.00W TOWER              1 00375 00499 U 9 I U                C 2006204 
MX-000297 O MX    MEXICO           14 53 31.00N 092 14 47.00W TOWER              1 00395 00860 U 9 I U                A 1998286 
MX-000298 O MX    MEXICO           14 53 42.00N 092 14 48.00W TOWER              1 00320 00700 U 9 I U                A 1998286 
MX-000299 O MX    MEXICO           14 53 54.00N 092 16 04.00W TOWER              1 00195 00665 U 9 I U                A 1998286 
MX-000300 O MX    MEXICO           14 55 30.00N 092 16 29.00W TOWER              1 00395 00925 U 9 I U                A 1998286 
MX-000302 O MX    MEXICO           15 50 50.00N 097 02 35.00W TOWER              1 00283 00414 U 9 I U                C 2006204 
MX-000303 O MX    MEXICO           16 10 46.00N 093 53 32.00W TOWER              1 00207 00375 U 9 I U                C 2006204 
MX-000304 O MX    MEXICO           16 14 00.00N 093 53 45.00W TOWER              1 00197 00478 U 9 I U                C 2006204 
MX-000305 O MX    MEXICO           16 16 24.00N 092 04 30.00W TOWER              1 00184 05594 U 9 I U                C 2015247 
MX-000306 O MX    MEXICO           16 18 00.00N 092 48 30.00W TOWER              1 00200 02000 U 9 I U                A 1998286 
MX-000307 O MX    MEXICO           16 19 00.00N 092 47 30.00W TOWER              1 00200 02000 U 9 I U                A 1998286 
MX-000308 O MX    MEXICO           16 19 50.00N 092 34 10.00W TOWER              1 00230 02435 U 9 I U                C 2006204 
MX-000309 O MX    MEXICO           16 21 36.00N 095 13 54.00W TOWER              1 00404 00669 U 9 I U                C 2006204 
MX-000310 O MX    MEXICO           16 41 58.00N 093 43 24.00W TOWER              1 00245 02010 U 9 I U                C 2006204 
MX-000311 O MX    MEXICO           16 42 05.00N 092 55 11.00W TOWER              1 00348 02448 U 9 I U                A 1998286 
MX-000312 O MX    MEXICO           16 44 53.00N 092 38 45.00W TOWER              1 00197 07427 U 9 I U                A 1998286 
MX-000313 O MX    MEXICO           16 45 06.00N 093 07 03.00W TOWER              1 00297 02098 U 9 I U                C 2006204 
MX-000314 O MX    MEXICO           16 45 10.00N 093 09 00.00W TOWER              1 00246 02152 U 9 I U                C 2006197 
MX-000315 O MX    MEXICO           16 45 20.00N 093 06 46.00W TOWER              1 00394 02134 U 9 I U                C 2006204 
MX-000316 O MX    MEXICO           16 45 30.00N 093 06 45.00W TOWER              1 00480 02212 U 9 I U                C 2006197 
