  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
BS-020007 O BS    BAHAMAS          25 05 02.00N 077 19 25.00W BLDG               1 00221 00237 U 3 D U                A 2012019 
BS-020010 O BS    BAHAMAS          25 05 01.44N 077 19 22.62W BLDG               1 00250 00308 U 3 D U                C 2019010 
BS-020011 O BS    BAHAMAS          26 31 40.40N 078 38 44.10W TOWER              1 00181 00197 L 4 D U                A 2017082 
BS-020012 O BS    BAHAMAS          26 32 33.12N 077 03 24.19W TOWER              1 00264 00271 U 4 D U                A 2017082 
BS-020013 O BS    BAHAMAS          23 39 06.60N 074 50 13.36W TOWER              1 00269 00290 U 4 D U                A 2017083 
BS-020014 O BS    BAHAMAS          23 39 05.76N 074 50 13.53W TOWER              1 00193 00216 U 4 I U                C 2017139 
BS-020015 O BS    BAHAMAS          26 31 34.91N 078 46 02.96W CRANE              1 00338 00345 L 4 D U                A 2017083 
BS-020016 O BS    BAHAHAS          26 31 51.38N 078 45 08.75W TOWER              1 00368 00391 U 4 I U                A 2017090 
BS-020017 O BS    BAHAMAS          26 31 48.57N 078 45 49.51W CRANE              1 00238 00248 L 4 D U                A 2017096 
BS-020018 O BS    BAHAMAS          22 22 05.25N 072 58 03.51W TOWER              1 00193 00201 U 3 E U                A 2017097 
BS-020019 O BS    BAHAMAS          22 45 56.60N 074 12 36.34W TOWER              1 00214 00296 U 4 D U                A 2017108 
BS-020020 O BS    BAHAMAS          26 31 52.28N 078 45 46.30W CRANE              1 00427 00437 L 4 E U                A 2017108 
BS-020021 O BS    BAHAMAS          26 31 42.97N 078 45 22.75W CRANE              1 00249 00256 U 4 D U                A 2017110 
BS-020022 O BS    BAHAMAS          26 31 40.57N 078 45 22.63W CRANE              1 00312 00319 L 4 D U                A 2017110 
BS-020023 O BS    BAHAMAS          26 31 37.86N 078 46 00.00W CRANE              1 00339 00346 L 4 D U                C 2018232 
BS-020024 O BS    BAHAMAS          26 31 57.81N 078 45 08.03W TOWER              1 00249 00278 U 4 I U                A 2017111 
BS-020025 O BS    BAHAMAS          26 31 02.22N 078 46 24.79W TOWER              1 00185 00207 L 2 D P                C 2019010 
BS-020026 O BS    BAHAMAS          26 32 32.10N 077 04 23.56W TOWER              1 00249 00253 U 4 D U                A 2017283 
BS-020027 O BS    BAHAMAS          24 57 46.83N 076 11 01.09W TOWER              1 00226 00254 U 2 E U                C 2019081 
BS-020028 O BS    BAHAMAS          24 46 37.04N 076 12 55.69W TOWER              1 00280 00327 U 2 E U                C 2019081 
BS-020029 O BS    BAHAMAS          25 27 02.63N 076 42 12.59W TOWER              1 00250 00268 U 2 E U                A 2017304 
BS-020030 O BS    BAHAMAS          25 30 01.00N 076 40 06.00W TOWER              1 00225 00244 L 1 D U                A 2017338 
BS-020031 O BS    BAHAMAS          26 31 38.12N 078 45 27.73W CRANE              1 00303 00310 U 4 D U                A 2018204 
BS-020032 O BS    BAHAMAS          26 31 49.07N 078 45 23.46W CRANE              1 00207 00217 U 4 D U                A 2018211 
BS-020033 O BS    BAHAMAS          26 31 48.31N 078 45 24.34W CRANE              1 00258 00268 U 4 D U                A 2018211 
BS-020034 O BS    BAHAMAS          26 31 50.30N 078 45 25.78W CRANE              1 00276 00286 U 4 D U                A 2018228 
BS-020035 O BS    BAHAMAS          25 01 28.84N 077 24 06.10W TOWER              1 00340 00353 U 3 E U                A 2018276 
BS-020036 O BS    BAHAMAS          25 02 25.40N 077 22 08.78W TOWER              1 00340 00437 U 4 D U                A 2018276 
BS-020037 O BS    BAHAMAS          26 30 45.09N 078 45 50.90W TOWER              1 00184 00202 U 1 D U                A 2019004 
BS-020038 O BS    BAHAMAS          25 05 05.74N 077 19 26.15W BLDG               1 00185 00216 U 3 E U                A 2019011 
BS-020039 O BS    BAHAMAS          25 05 07.39N 077 19 41.89W BLDG               1 00233 00280 U 3 E U                A 2019011 
BS-020040 O BS    BAHAMAS          25 05 11.25N 077 19 36.84W BLDG               1 00250 00277 U 3 E U                A 2019011 
BS-020041 O BS    BAHAMAS          25 05 04.18N 077 19 27.72W BLDG               1 00250 00283 U 3 E U                A 2019022 
BS-020042 O BS    BAHAMAS          25 03 18.78N 077 21 39.35W TOWER              1 00216 00232 U 2 D U                C 2021243 
BS-020043 O BS    BAHAMAS          25 03 18.86N 077 21 34.13W TOWER              1 00199 00213 U 1 D U                A 2019029 
BS-020044 O BS    BAHAMAS          24 42 19.42N 077 46 18.60W WINDMILL           1 00245 00274 U 1 D W                A 2019133 
BS-020045 O BS    BAHAMAS          24 43 40.74N 077 47 07.42W TOWER              1 00260 00286 U 1 D U                A 2019135 
BS-020046 O BS    BAHAMAS          25 00 14.94N 077 32 21.77W STACK              1 00223 00269 U 3 E U                A 2019239 
BS-020047 O BS    BAHAMAS          26 41 45.81N 078 59 03.35W TANK               1 00200 00232 U 1 D U                A 2019301 
BS-020048 O BS    BAHAMAS          24 37 25.05N 075 40 32.98W TOWER              1 00253 00274 U 3 E U                A 2021230 
