  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
55-082575 U US WI PLEASANT PRAIRIE 42 30 34.30N 087 53 52.10W T-L TWR            1 00180 00880 N 4 D N 2012AGL06692OE A 2018027 
55-000296 O US WI PLEASANT PRAIRIE 42 30 34.89N 087 53 10.97W TOWER              1 00466 01199 R 1 A P 2013AGL07582OE C 2013343 
55-095118 U US WI BELOIT           42 30 35.00N 088 58 54.00W SIGN               1 00022 00847 N 4 D N 2018AGL13013OE A 2020220 
55-084579 U US WI BELOIT           42 30 37.08N 088 59 39.27W T-L TWR            1 00199 00989 N 4 D N 2014AGL11824OE A 2018027 
55-095119 U US WI BELOIT           42 30 39.00N 088 58 50.00W SIGN               1 00038 00872 N 4 D N 2018AGL13014OE A 2020225 
55-084659 U US WI BELOIT           42 30 40.28N 088 59 33.08W T-L TWR            1 00199 00990 N 4 D N 2014AGL11825OE A 2018027 
55-120343 U US WI BELOIT           42 30 41.56N 088 59 34.88W TOWER              1 00140 00929 N 4 D N 2023AGL13853OE A 2023339 
55-082497 U US WI PLEASANT PRAIRIE 42 30 42.00N 087 53 52.00W T-L TWR            1 00131 00835 N 4 D N 2012AGL06691OE A 2018027 
55-085833 U US WI TWIN LAKES       42 30 43.15N 088 17 47.26W POLE               1 00115 00966 N 1 A N 2016AGL07609OE A 2018026 
55-084618 U US WI BELOIT           42 30 43.49N 088 59 26.90W T-L TWR            1 00199 00995 N 4 D N 2014AGL11826OE A 2018027 
55-084580 U US WI BELOIT           42 30 45.90N 088 59 22.20W T-L TWR            1 00199 01008 N 4 D N 2014AGL11827OE A 2018027 
55-095202 O US WI CLINTON          42 30 47.94N 088 53 34.74W TOWER              1 00304 01252 D 1 A N 2019AGL13105OE A 2020266 
55-084660 U US WI BELOIT           42 30 48.31N 088 59 17.50W T-L TWR            1 00199 00992 N 4 D N 2014AGL11828OE A 2018027 
55-084619 U US WI BELOIT           42 30 49.02N 088 59 16.09W T-L TWR            1 00199 00996 N 4 D N 2014AGL11829OE A 2018027 
55-082496 U US WI PLEASANT PRAIRIE 42 30 49.70N 087 53 52.00W T-L TWR            1 00125 00835 N 4 D N 2012AGL06690OE A 2018027 
55-084581 U US WI BELOIT           42 30 51.76N 088 59 10.77W T-L TWR            1 00199 01006 N 4 D N 2014AGL11830OE A 2018027 
55-084661 U US WI BELOIT           42 30 54.49N 088 59 05.45W T-L TWR            1 00199 01003 N 4 D N 2014AGL11831OE A 2018027 
55-082538 U US WI PLEASANT PRAIRIE 42 30 56.60N 087 53 51.90W T-L TWR            1 00120 00829 N 4 D N 2012AGL06689OE A 2018027 
55-001705 U US WI ZENDA            42 30 57.00N 088 30 09.00W TOWER              1 00253 01257 R 4 D M 2002AGL01648OE C 2014124 
55-081765 U US WI PLEASANT PRAIRIE 42 30 57.19N 087 49 22.78W TOWER              1 00110 00738 N 4 D N 2005AGL06258OE A 2017307 
55-084620 U US WI BELOIT           42 30 57.23N 088 59 00.13W T-L TWR            1 00199 01007 N 4 D N 2014AGL11832OE A 2018027 
55-084037 U US WI LAKE GENEVA      42 30 57.54N 088 19 26.98W POLE               1 00110 00988 N 4 D N 2013AGL10757OE A 2018027 
55-084582 U US WI BELOIT           42 30 59.97N 088 58 54.81W T-L TWR            1 00199 01010 N 4 D N 2014AGL11833OE A 2018027 
55-085728 U US WI TWIN LAKES       42 31 01.50N 088 13 36.16W TOWER              1 00170 01000 N 1 A N 2016AGL01061OE A 2018024 
55-084662 U US WI BELOIT           42 31 02.70N 088 58 49.48W T-L TWR            1 00199 01011 N 4 D N 2014AGL11834OE A 2018027 
55-001378 O US WI GENOA CITY       42 31 03.00N 088 20 23.00W TOWER              1 00186 01019 N 5 D N 1997AGL05525OE C 2014138 
55-084621 U US WI BELOIT           42 31 03.15N 088 58 48.74W T-L TWR            1 00199 01011 N 4 D N 2014AGL11835OE A 2018027 
55-082535 U US WI PLEASANT PRAIRIE 42 31 03.60N 087 53 51.90W T-L TWR            1 00119 00826 N 4 D N 2012AGL06686OE A 2018027 
55-084611 U US WI BELOIT           42 31 03.91N 088 58 50.84W T-L TWR            1 00199 01010 N 4 D N 2014AGL11923OE A 2018027 
55-084693 U US WI BELOIT           42 31 04.27N 088 58 50.14W T-L TWR            1 00199 01010 N 4 D N 2014AGL11924OE A 2018027 
55-084583 U US WI BELOIT           42 31 05.84N 088 58 43.52W T-L TWR            1 00199 01010 N 4 D N 2014AGL11836OE A 2018027 
55-027641 O US WI BELOIT           42 31 06.83N 088 57 35.74W TANK               1 00140 01070 N 4 D N 2017AGL00561OE A 2017044 
55-084663 U US WI BELOIT           42 31 08.52N 088 58 38.30W T-L TWR            1 00199 01002 N 4 D N 2014AGL11837OE A 2018027 
55-000293 O US WI KIELER           42 31 09.00N 090 37 11.00W TOWER              1 00837 01697 R 4 D M 1998AGL03319OE C 2014138 
55-084622 U US WI BELOIT           42 31 09.46N 088 58 33.94W T-L TWR            1 00199 01013 N 4 D N 2014AGL11838OE A 2018027 
55-082534 U US WI PLEASANT PRAIRIE 42 31 10.60N 087 53 51.90W T-L TWR            1 00129 00838 N 4 D N 2012AGL06685OE A 2018027 
55-084584 U US WI BELOIT           42 31 12.61N 088 58 27.91W T-L TWR            1 00199 01007 N 4 D N 2014AGL11839OE A 2018027 
55-020683 O US WI BELOIT           42 31 14.35N 089 00 59.81W TOWER              1 00130 00927 N 2 C N 2022AGL01562OE C 2022292 
55-084664 U US WI BELOIT           42 31 15.44N 088 58 24.93W T-L TWR            1 00199 01005 N 4 D N 2014AGL11840OE A 2018027 
55-085890 U US WI PLEASANT PRAIRIE 42 31 15.59N 087 51 29.54W POLE               1 00130 00836 N 1 A N 2016AGL12623OE A 2018027 
55-082573 U US WI PLEASANT PRAIRIE 42 31 17.00N 087 53 51.80W T-L TWR            1 00147 00854 N 4 D N 2012AGL06684OE A 2018027 
55-084623 U US WI BELOIT           42 31 18.18N 088 58 19.60W T-L TWR            1 00199 01010 N 4 D N 2014AGL11841OE A 2018027 
55-095287 O US WI BROWNTOWN        42 31 19.21N 089 49 55.32W TOWER              1 00304 01248 D 1 A N 2019AGL21087OE A 2020325 
55-086261 O US WI BELOIT           42 31 20.67N 089 10 07.65W TOWER              1 00226 01011 D 1 A N 2016AGL17058OE A 2017265 
55-084585 U US WI BELOIT           42 31 20.91N 088 58 14.28W T-L TWR            1 00199 01017 N 4 D N 2014AGL11842OE A 2018027 
55-084044 U US WI BELOIT           42 31 22.59N 089 04 33.10W T-L TWR            1 00074 00898 N 4 D N 2013AGL11124OE A 2018027 
55-084598 U US WI BELOIT           42 31 23.50N 088 53 49.41W T-L TWR            1 00199 01141 N 4 D N 2014AGL11887OE A 2018028 
55-084665 U US WI BELOIT           42 31 23.65N 088 58 08.95W T-L TWR            1 00199 01010 N 4 D N 2014AGL11843OE A 2018027 
55-084639 U US WI BELOIT           42 31 23.69N 088 53 56.72W T-L TWR            1 00199 01124 N 4 D N 2014AGL11886OE A 2018027 
55-084638 U US WI BELOIT           42 31 23.88N 088 54 03.68W T-L TWR            1 00199 01108 N 4 D N 2014AGL11885OE A 2018027 
55-084637 U US WI BELOIT           42 31 24.07N 088 54 10.84W T-L TWR            1 00199 01112 N 4 D N 2014AGL11884OE A 2018027 
55-084679 U US WI BELOIT           42 31 24.25N 088 54 17.76W T-L TWR            1 00199 01110 N 4 D N 2014AGL11883OE A 2018027 
55-089103 O US WI HAZEL GREEN      42 31 24.40N 090 36 57.33W TOWER              1 00275 01187 D 4 D N 2018AGL13927OE A 2019030 
55-084597 U US WI BELOIT           42 31 24.42N 088 54 24.70W T-L TWR            1 00199 01110 N 4 D N 2014AGL11882OE A 2018027 
55-084596 U US WI BELOIT           42 31 24.58N 088 54 31.71W T-L TWR            1 00199 01111 N 4 D N 2014AGL11881OE A 2018027 
55-082494 U US WI PLEASANT PRAIRIE 42 31 24.70N 087 53 50.10W T-L TWR            1 00140 00853 N 4 D N 2012AGL06683OE A 2018027 
55-084678 U US WI BELOIT           42 31 24.74N 088 54 38.90W T-L TWR            1 00199 01121 N 4 D N 2014AGL11880OE A 2018027 
55-084636 U US WI BELOIT           42 31 24.89N 088 54 45.66W T-L TWR            1 00199 01122 N 4 D N 2014AGL11879OE A 2018027 
55-084677 U US WI BELOIT           42 31 25.04N 088 54 52.60W T-L TWR            1 00199 01121 N 4 D N 2014AGL11878OE A 2018027 
55-084595 U US WI BELOIT           42 31 25.20N 088 54 59.62W T-L TWR            1 00199 01117 N 4 D N 2014AGL11877OE A 2018027 
55-084635 U US WI BELOIT           42 31 25.35N 088 55 06.62W T-L TWR            1 00199 01116 N 4 D N 2014AGL11876OE A 2018027 
55-084634 U US WI BELOIT           42 31 25.51N 088 55 13.60W T-L TWR            1 00199 01120 N 4 D N 2014AGL11875OE A 2018027 
55-084676 U US WI BELOIT           42 31 25.65N 088 55 20.78W T-L TWR            1 00199 01105 N 4 D N 2014AGL11874OE A 2018027 
55-084633 U US WI BELOIT           42 31 25.78N 088 55 27.82W T-L TWR            1 00199 01098 N 4 D N 2014AGL11873OE A 2018027 
55-084675 U US WI BELOIT           42 31 25.91N 088 55 34.77W T-L TWR            1 00199 01116 N 4 D N 2014AGL11872OE A 2018027 
55-084073 U US WI BELOIT           42 31 26.04N 089 04 33.11W T-L TWR            1 00074 00903 N 4 D N 2013AGL11123OE A 2018027 
55-084594 U US WI BELOIT           42 31 26.05N 088 55 41.82W T-L TWR            1 00191 01120 N 4 D N 2014AGL11871OE A 2018027 
55-084632 U US WI BELOIT           42 31 26.18N 088 55 48.81W T-L TWR            1 00199 01112 N 4 D N 2014AGL11870OE A 2018027 
55-084674 U US WI BELOIT           42 31 26.32N 088 55 55.83W T-L TWR            1 00199 01113 N 4 D N 2014AGL11869OE A 2018027 
55-084624 U US WI BELOIT           42 31 26.38N 088 58 03.63W T-L TWR            1 00199 01008 N 4 D N 2014AGL11844OE A 2018027 
55-084593 U US WI BELOIT           42 31 26.43N 088 56 02.80W T-L TWR            1 00199 01129 N 4 D N 2014AGL11868OE A 2018027 
55-084631 U US WI BELOIT           42 31 26.50N 088 56 09.76W T-L TWR            1 00199 01142 N 4 D N 2014AGL11867OE A 2018028 
55-084673 U US WI BELOIT           42 31 26.68N 088 56 16.42W T-L TWR            1 00199 01139 N 4 D N 2014AGL11866OE A 2018027 
55-084672 U US WI BELOIT           42 31 26.87N 088 56 23.43W T-L TWR            1 00199 01138 N 4 D N 2014AGL11865OE A 2018027 
55-084592 U US WI BELOIT           42 31 27.07N 088 56 30.54W T-L TWR            1 00199 01160 N 4 D N 2014AGL11864OE A 2018027 
55-084671 U US WI BELOIT           42 31 27.26N 088 56 37.51W T-L TWR            1 00199 01162 N 4 D N 2014AGL11863OE A 2018027 
55-084591 U US WI BELOIT           42 31 27.36N 088 56 44.65W T-L TWR            1 00199 01148 N 4 D N 2014AGL11862OE A 2018027 
55-084630 U US WI BELOIT           42 31 27.47N 088 56 51.79W T-L TWR            1 00199 01125 N 4 D N 2014AGL11861OE A 2018027 
55-084670 U US WI BELOIT           42 31 27.57N 088 56 58.93W T-L TWR            1 00199 01095 N 4 D N 2014AGL11860OE A 2018027 
55-084590 U US WI BELOIT           42 31 27.68N 088 57 06.07W T-L TWR            1 00199 01068 N 4 D N 2014AGL11859OE A 2018028 
